From;To;Resources;Network_type;tc_min;tc_max
CB;CH;ELECTRICITY;HVAC_LINE;0;0.1425
CH;CB;ELECTRICITY;HVAC_LINE;0;0.1425
CB;SC;ELECTRICITY;HVAC_LINE;0;0.2725
SC;CB;ELECTRICITY;HVAC_LINE;0;0.2725
CB;OR;ELECTRICITY;HVAC_LINE;0;0.32511
CB;PT;ELECTRICITY;HVAC_LINE;0;0.065
PT;CB;ELECTRICITY;HVAC_LINE;0;0.065
CB;LP;ELECTRICITY;HVAC_LINE;0;0.3858
LP;BN;ELECTRICITY;HVAC_LINE;0;0.1051
BN;LP;ELECTRICITY;HVAC_LINE;0;0.074
LP;OR;ELECTRICITY;HVAC_LINE;0;0.13
LP;CB;ELECTRICITY;HVAC_LINE;0;0.3858
OR;CB;ELECTRICITY;HVAC_LINE;0;0.32511
OR;PT;ELECTRICITY;HVAC_LINE;0;0.074
PT;OR;ELECTRICITY;HVAC_LINE;0;0.074
OR;LP;ELECTRICITY;HVAC_LINE;0;0.13
PT;CH;ELECTRICITY;HVAC_LINE;0;0.2185
CH;PT;ELECTRICITY;HVAC_LINE;0;0.2185
CH;SC;ELECTRICITY;HVAC_LINE;0;0.0152
SC;BN;ELECTRICITY;HVAC_LINE;0;0.14004
BN;SC;ELECTRICITY;HVAC_LINE;0;0.14004
TJ;PT;ELECTRICITY;HVAC_LINE;0;0.3258
PT;TJ;ELECTRICITY;HVAC_LINE;0;0.3258
TJ;CH;ELECTRICITY;HVAC_LINE;0;0.1425
CH;TJ;ELECTRICITY;HVAC_LINE;0;0.1425
CB;SC;GAS;GAS_PIPELINE;0;5.812576
SC;CB;GAS;GAS_PIPELINE;0;5.812576
CB;CH;GAS;GAS_PIPELINE;0;0.253995
CH;CB;GAS;GAS_PIPELINE;0;0.253995
CB;OR;GAS;GAS_PIPELINE;0;2.466682
OR;CB;GAS;GAS_PIPELINE;0;2.466682
LP;OR;GAS;GAS_PIPELINE;0;2.176053
OR;LP;GAS;GAS_PIPELINE;0;2.176053
SC;CH;GAS;GAS_PIPELINE;0;0.527528
CH;SC;GAS;GAS_PIPELINE;0;0.527528
CH;PT;GAS;GAS_PIPELINE;0;0.251553
PT;CH;GAS;GAS_PIPELINE;0;0.251553
TJ;TJ-EP;GAS;GAS_PIPELINE;0;0.139209
TJ-EP;TJ;GAS;GAS_PIPELINE;0;0.139209
TJ;TJ-OC;GAS;GAS_PIPELINE;0;1.563046
TJ-OC;TJ;GAS;GAS_PIPELINE;0;1.563046
SC;SC-MI;GAS;GAS_PIPELINE;0;0.390761
SC-MI;SC;GAS;GAS_PIPELINE;0;0.390761
SC;SC-CQ;GAS;GAS_PIPELINE;0;1.944717
SC-CQ;SC;GAS;GAS_PIPELINE;0;1.944717
SC;SC-AS;GAS;GAS_PIPELINE;0;3.490292
SC-AS;SC;GAS;GAS_PIPELINE;0;3.490292
SC-CQ;SC-GB;GAS;GAS_PIPELINE;0;28.880625
SC-GB;SC-CQ;GAS;GAS_PIPELINE;0;28.880625
SC;SC-VC;GAS;GAS_PIPELINE;0;1.831694
SC-VC;SC;GAS;GAS_PIPELINE;0;1.831694
SC;SC-CC;GAS;GAS_PIPELINE;0;8.547906
SC-CC;SC;GAS;GAS_PIPELINE;0;8.547906
TJ-OC;SC-CC;GAS;GAS_PIPELINE;0;8.547906
SC-CC;TJ-OC;GAS;GAS_PIPELINE;0;8.547906
CB;LP;DIESEL;DIESEL_PIPELINE;0.033111902;0.033111902
LP;CB;DIESEL;DIESEL_PIPELINE;0.033111902;0.033111902
CB;OR;DIESEL;DIESEL_PIPELINE;0.033111902;0.033111902
OR;CB;DIESEL;DIESEL_PIPELINE;0.033111902;0.033111902
CB;SC;DIESEL;DIESEL_PIPELINE;0.005968669;0.005968669
SC;CB;DIESEL;DIESEL_PIPELINE;0.005968669;0.005968669
SC;SC-CC;DIESEL;DIESEL_PIPELINE;0.010374115;0.010374115
SC-CC;SC;DIESEL;DIESEL_PIPELINE;0.010374115;0.010374115
SC-CC;CH;DIESEL;DIESEL_PIPELINE;0.010232004;0.010232004
CH;SC-CC;DIESEL;DIESEL_PIPELINE;0.010232004;0.010232004
CH;PT;DIESEL;DIESEL_PIPELINE;0.007330094;0.007330094
PT;CH;DIESEL;DIESEL_PIPELINE;0.007330094;0.007330094
CB;LP;GASOLINE;GASOLINE_PIPELINE;2.10E-01;2.10E-01
LP;CB;GASOLINE;GASOLINE_PIPELINE;2.10E-01;2.10E-01
CB;OR;GASOLINE;GASOLINE_PIPELINE;2.10E-01;2.10E-01
OR;CB;GASOLINE;GASOLINE_PIPELINE;2.10E-01;2.10E-01
CB;SC;GASOLINE;GASOLINE_PIPELINE;3.79E-02;3.79E-02
SC;CB;GASOLINE;GASOLINE_PIPELINE;3.79E-02;3.79E-02
SC;SC-CC;GASOLINE;GASOLINE_PIPELINE;6.59E-02;6.59E-02
SC-CC;SC;GASOLINE;GASOLINE_PIPELINE;6.59E-02;6.59E-02
SC-CC;CH;GASOLINE;GASOLINE_PIPELINE;6.50E-02;6.50E-02
CH;SC-CC;GASOLINE;GASOLINE_PIPELINE;6.50E-02;6.50E-02
CH;PT;GASOLINE;GASOLINE_PIPELINE;4.66E-02;4.66E-02
PT;CH;GASOLINE;GASOLINE_PIPELINE;4.66E-02;4.66E-02
CB;LP;LPG;LPG_PIPELINE;0.088287189;0.088287189
LP;CB;LPG;LPG_PIPELINE;0.088287189;0.088287189
CB;OR;LPG;LPG_PIPELINE;0.088287189;0.088287189
OR;CB;LPG;LPG_PIPELINE;0.088287189;0.088287189
CB;SC;LPG;LPG_PIPELINE;0.015914429;0.015914429
SC;CB;LPG;LPG_PIPELINE;0.015914429;0.015914429
SC;SC-CC;LPG;LPG_PIPELINE;0.027660793;0.027660793
SC-CC;SC;LPG;LPG_PIPELINE;0.027660793;0.027660793
SC-CC;CH;LPG;LPG_PIPELINE;0.027281878;0.027281878
CH;SC-CC;LPG;LPG_PIPELINE;0.027281878;0.027281878
CH;PT;LPG;LPG_PIPELINE;0.019544434;0.019544434
PT;CH;LPG;LPG_PIPELINE;0.019544434;0.019544434
CB;LP;LFO;LFO_PIPELINE;0.0081071;0.0081071
LP;CB;LFO;LFO_PIPELINE;0.0081071;0.0081071
CB;OR;LFO;LFO_PIPELINE;0.0081071;0.0081071
OR;CB;LFO;LFO_PIPELINE;0.0081071;0.0081071
CB;SC;LFO;LFO_PIPELINE;0.0014614;0.0014614
SC;CB;LFO;LFO_PIPELINE;0.0014614;0.0014614
SC;SC-CC;LFO;LFO_PIPELINE;0.00254;0.00254
SC-CC;SC;LFO;LFO_PIPELINE;0.00254;0.00254
SC-CC;CH;LFO;LFO_PIPELINE;0.0025052;0.0025052
CH;SC-CC;LFO;LFO_PIPELINE;0.0025052;0.0025052
CH;PT;LFO;LFO_PIPELINE;0.0017947;0.0017947
PT;CH;LFO;LFO_PIPELINE;0.0017947;0.0017947
CB;LP;JET_FUEL;JET_FUEL_PIPELINE;0.0081071;0.0081071
LP;CB;JET_FUEL;JET_FUEL_PIPELINE;0.0081071;0.0081071
CB;OR;JET_FUEL;JET_FUEL_PIPELINE;0.0081071;0.0081071
OR;CB;JET_FUEL;JET_FUEL_PIPELINE;0.0081071;0.0081071
CB;SC;JET_FUEL;JET_FUEL_PIPELINE;0.0014614;0.0014614
SC;CB;JET_FUEL;JET_FUEL_PIPELINE;0.0014614;0.0014614
SC;SC-CC;JET_FUEL;JET_FUEL_PIPELINE;0.00254;0.00254
SC-CC;SC;JET_FUEL;JET_FUEL_PIPELINE;0.00254;0.00254
SC-CC;CH;JET_FUEL;JET_FUEL_PIPELINE;0.0025052;0.0025052
CH;SC-CC;JET_FUEL;JET_FUEL_PIPELINE;0.0025052;0.0025052
