Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0.009;0.01;0.00003;1.00E+15
IND_BOILER_WOOD;0.8946;0;1;0;0
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
GENSET_DIESEL;1;0.989;0.99;0.00269;1.00E+15
STOVE_WOOD;0.1875;0;1;0.001574087;1.00E+15
TRUCK_FG;0.01805556;0;1;0;0
TRUCK_GASOLINE;0.01805556;0.733084074;0.733094074;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.266895926;0.266905926;0;1.00E+15
CONVENTIONAL_BULB;1;0.787855261;0.787865261;0;1.00E+15
LED_BULB;1;0.212124739;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
