;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;1.15E-04;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.001479106;0.0001;0.571958604;0.283094258;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;1.04E-04;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.001479106;0.0001;0.499720057;0.286934686;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;9.46E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.004067544;0.0001;0.464618828;0.292421008;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;8.89E-05;0;0.000164203;0.0000083;0.000114155;0;0.007395534;0.0001;0.435881908;0.288580582;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;8.59E-05;0;0.000164203;0.0000249;0.000114155;0;0.002588438;0.0001;0.414484667;0.31217177;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;8.22E-05;0;0.000164203;0.0000693;0.000114155;0;0.002958214;0.0001;0.361826728;0.316560829;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;6.83E-05;0;0.000164203;0.000143;0.000114155;0;0.003697768;0.0001;0.326847422;0.322047153;0.0001;0;0.0001
2017-01-01 07:00:00+00:00;7.18E-05;0;0.000164627;0.00019;0.000114155;0;0.002588438;0.0001;0.34591596;0.313269036;0.0001;0;0.0001
2017-01-01 08:00:00+00:00;7.72E-05;0;0.000165051;0.000168;0.000114155;0;0.002588438;0.0001;0.356742598;0.412022846;0.0001;0;0.0001
2017-01-01 09:00:00+00:00;8.14E-05;0;0.000165476;0.000165;0.000114155;0.00145;0.002588438;0.0001;0.387271766;0.382396703;0.0001;0;0.0001
2017-01-01 10:00:00+00:00;8.61E-05;0;0.000166324;0.000179;0.000114155;0.01508;0.00221866;0.0001;0.4346505;0.288580582;0.0001;0;0.0001
