Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;46.27804617;15.61932908;93.58310988;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.337170356;0;4.895937093;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;1.796357609;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;878.8580729;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;1.408892466;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;55.989593;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;338.335367;31.67530299;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;17.09402251;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;26153.82201;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;758.2835578;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;3.688103848;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;2.347498758;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;228.8399905;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;94.50049654;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;10.45901885;0;0;0;0;0;[GWh]
