Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0.005222219;0.006222219;0.005;1.00E+15
HYDRO_DAM;1;0.012652759;0.013652759;0.0076;1.00E+15
GENSET_DIESEL;0.155363633;0;1;0.001159233;1.00E+15
OCGT;0.044875426;0.034230011;0.035230011;0.15672;1.00E+15
CCGT;0.3262;0.471447487;0.472447487;0;1.00E+15
CCGT_SUR;0.3262;0.471447524;0.472447524;0.44369;1.00E+15
IND_BOILER_GAS;0.9443;0.601846314;0.602846314;0.031152609;1.00E+15
IND_BOILER_WOOD;0.8946;0.392832752;0.393832752;0.021432429;1.00E+15
IND_BOILER_OIL;0.9443;0.001958103;0.002958103;0.00001776;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.025;0.0251;0;1.00E+15
DEC_DIRECT_ELEC;1;0.975;0.9751;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;5.4436;5.4437
DIESEL_STORAGE;1;0;1;119.26267;119.2627
GASOLINE_STORAGE;1;0;1;157.6926;157.69261
JET_FUEL_STORAGE;1;0;1;0.299869667;0.2999
STOVE_WOOD;0.1875;0;1;0;0
STOVE_LPG;0.1875;0.709597446;0.710597446;0.095576318;1.00E+15
STOVE_NG;0.1875;0.289209917;0.290209917;0.038807849;1.00E+15
STOVE_OIL;0.1875;0.001192637;0.002192637;0.000112446;1.00E+15
STOVE_ELEC;0.1875;0;1;0;0
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;785.3239706;785.324
IND_BOILER_DIESEL;0.9;0.003362831;0.004362831;0.00046083;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.015494748;0.015594748;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.066743965;0.066843965;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.001342024;0.001442024;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.003544228;0.003644228;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.003584224;0.003684224;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.001491036;0.001591036;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.087998426;0.088098426;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.000293161;0.000393161;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.000510285;0.000610285;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.000416281;0.000516281;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.11297387;0.11307387;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.486637421;0.486737421;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.009784843;0.009884843;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.02584135;0.02594135;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.026132965;0.026232965;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.010871304;0.010971304;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.641605981;0.641705981;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.002137466;0.002237466;0;1.00E+15
