Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[Meuro/GW] [Meuro/GWh] [Meuro/(Mkmpass/h)] [Meuro/(Mtonkm/h)];[ktonCO2_eq/GW] [ktonCO2_eq/GWh] [ktonCO2_eq/(Mkmpass/h)] [ktonCO2_eq/(Mtonkm/h)];[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear;NUCLEAR;4845.734619;102.930986;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Nuclear;NUCLEAR_SMR;4845.734619;102.930986;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;1253.082037;18.7961901;183.79;30;0.9615;0;1;0;0;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2516.71;30.0225445;331.6;35;0.865396;0;1;0;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3316.37;49.47283735;331.6;35;0.853432;0;1;0;0;
Electricity;Electricity;Biomass power plant;BIOMASS_TO_POWER;1677.0152;69.9431;331.6;35;0.868;0;1;0;0;
Electricity;Electricity;Photovoltaic rooftop;PV_ROOFTOP;737.8867059;9.726688396;2081.43;30;1;0;1;0;0;
Electricity;Electricity;Photovoltaic utility scale;PV_UTILITY;1051.13;26.01945647;2081.43;30;1;0;1;0;0;
Electricity;Electricity;Parabolic trough collectors;PT_COLLECTOR;4504.71429;62.65;0;25;1;0;1;0;0;
Electricity;Electricity;Solar tower collectors;ST_COLLECTOR;5517.02;63;0;25;1;0;1;0;0;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;1044.57;62.65;0;25;1;0;1;0;0;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;768.19;63;0;25;1;0;1;0;0;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1629.13;24.41867298;622.85;30;1;0;1;0;0;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;1255.3657;50.5642;622.85;30;1;0;1;0;0;
Electricity;Electricity;Hydro dam;HYDRO_DAM;2206.3;22.063;1262.82;100;1;0;1;0;0;
Electricity;Electricity;Hydro river;HYDRO_RIVER;2000.264;20.003;1262.82;100;1;0;1;0;0;
Electricity;Electricity;Tidal stream;TIDAL_STREAM;3752;165;0;20;1;0;1;0;0;
Electricity;Electricity;Tidal range;TIDAL_RANGE;2867;178;0;40;1;0;1;0;0;
Electricity;Electricity;Wave;WAVE;2912.5;97.4107;0;25;0.3995;0;1;0;0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;3772.171603;94.30429007;24929.09;50;0.914;0;1;0;0;
Electricity;Electricity;Diesel genset;GENSET_DIESEL;384.6;5.769001632;516.55;30;0.85;0;1;0;0;
Electricity;Electricity;Open cycle gas turbine;OCGT;941.904649;23.54761623;183.79;30;0.85;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine;CCGT;0;0;183.79;30;0.85;0;1;0;0;
Electricity;Electricity;Grate-firing-steam turbine;ST_BIOMASS;1716.964771;39.82614252;331.6;30;0.868;0;1;0;0;
Electricity;Electricity;Syngas-steam turbine;ST_SNG;982.1038492;14.73155774;331.6;30;0.868;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine_Sur;CCGT_SUR;0;0;183.79;30;0.85;0;1;0;0;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1528.1;98.22449611;1024.32;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1172.95;42.94466341;165.33;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;2927.867778;111.3212848;647.82;25;0.85;0;1;0;0;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;70.67;1.415862909;12.32;17;0.9443;0;1;0;0;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;138.22;2.764303774;28.87;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Boiler biowaste (industry);IND_BOILER_BIOWASTE;138.22;2.764303774;28.87;17;0.8946;0;1;0;0;
