Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
IND_BOILER_WOOD;0.8946;0;1;0.01943811;0.01953811
IND_BOILER_OIL;0.9443;0;1;0.00039773;0.00049773
DHN_BOILER_GAS;0.95;0;1;0;0
DHN_BOILER_OIL;0.95;0;1;0;0
DEC_BOILER_GAS;1;0.024;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.974;0.975;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;21.7956;21.795601
GASOLINE_STORAGE;1;0;1;14.14521313;14.14521413
JET_FUEL_STORAGE;1;0;1;0.506676333;0.506677333
GENSET_DIESEL;0.165539573;0;1;0.03058;0.03058
STOVE_WOOD;0.1875;0;1;0.001263294;0.001363294
STOVE_LPG;0.1875;0;1;0.077854;0.077954
STOVE_NG;0.1875;0;1;0.002015008;0.002115008
STOVE_OIL;0.1875;0;1;0.001574238;0.001674238
PLANE;0.114155251;0;1;0;1.00E+15
LNG_STORAGE;1;0;1;2.14;2.140001
IND_BOILER_DIESEL;0.9;0;1;0.000505453;0.000605453
CAR_FG_PRIVATE;0.1343125;0;1;0;0
BUS_FG_PRIVATE;0.48372222;0;1;0;0
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0;1;0;0
SUV_FG_PRIVATE;0.01927083;0;1;0;0
MOTORCYCLE_FG_PRIVATE;0.01989583;0;1;0;0
CAR_FG_PUBLIC;0.1343125;0;1;0;0
BUS_FG_PUBLIC;0.48372222;0;1;0;0
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;1;0;0
SUV_FG_PUBLIC;0.01927083;0;1;0;0
MOTORCYCLE_FG_PUBLIC;0.01989583;0;1;0;0
CAR_GASOLINE_PRIVATE;0.1343125;0.063773587;0.064773587;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.310397488;0.311397488;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.011652051;0.012652051;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.020513206;0.021513206;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.321757741;0.322757741;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.003895424;0.004895424;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.636953488;0.637953488;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.010145259;0.011145259;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.017003201;0.018003201;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.060096701;0.061096701;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.022582859;0.023582859;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.112374037;0.113374037;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.003606377;0.004606377;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.006832559;0.007832559;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.116510094;0.117510094;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.000782333;0.001782333;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.231267007;0.232267007;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.003057782;0.004057782;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.005554631;0.006554631;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.021244173;0.022244173;0;1.00E+15
TRUCK_FG;0.01805556;0;0;0;0
VAN_FG;0.0203125;0;0;0;0
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.732094074;0.733094074;0;1.00E+15
VAN_GASOLINE;0.0203125;0.731242554;0.732242554;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0;0.000851535;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.265905926;0.266905926;0;1.00E+15
VAN_DIESEL;0.0203125;0.265595903;0.266595903;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0;0.000310008;0;1.00E+15
REGASIFICATION;1;0;1;0.00047112;0.000571
LIQUEFACTION;1;0;1;0;0
IND_ELEC_COLD;1;0;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.787865261;0.787965261;0;1.00E+15
LED_BULB;1;0.212134739;0.212234739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.000350491;0.000450491
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0;1;0.010356269;0.010456269
FISH_MACHINERY_DIESEL;1;0;1;0.001056583;0.001156583
FISH_MACHINERY_EL;1;0;1;0.000497601;0.000597601
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
