Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
CCGT;0.35601446;0;1;0.37995;0.37996
WIND_ONSHORE;1;0;1;0.027;0.027
HYDRO_DAM;1;0;1;0.29746;0.29747
HYDRO_RIVER;1;0;1;0.13351;0.13352
IND_BOILER_GAS;0.9443;0;1;0.189895062;0.189995
IND_BOILER_WOOD;0.8946;0;1;0.085753856;0.085854
IND_BOILER_OIL;0.9443;0;1;0.000197092;0.000297
DHN_BOILER_GAS;0.95;0;1;0;0
DHN_BOILER_WOOD;0.9;0;1;0;0
DEC_BOILER_GAS;1;0.02428963;0.02438963;0;1.00E+15
DEC_SOLAR;1;0.028414807;0.028514807;0;1.00E+15
DEC_DIRECT_ELEC;1;0.947295563;0.947395563;0;1.00E+15
TRAMWAY_TROLLEY;0.342465753;0;0.000087;0;1.00E+15
CAR_BEV;0.1343125;0;0.000650657;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0.030032402;0.030032402;0;1.00E+15
GAS_TO_HVC;0.994;0.969967598;0.969967598;0;1.00E+15
BEV_BATT;1;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;541.8131;541.8132
DIESEL_STORAGE;1;0;1;449.38296;449.382961
JET_FUEL_STORAGE;1;0;1;115.046549;115.0465497
GASOLINE_STORAGE;1;0;1;336.686377;336.6863784
OCGT;0.060873063;0;1;0.48066;0.48067
STOVE_WOOD;0.1875;0;1;0.013968581;0.014068581
STOVE_LPG;0.1875;0;1;0.488254766;0.488354766
STOVE_NG;0.1875;0;1;0.121618232;0.121718232
STOVE_OIL;0.1875;0;1;0.000976232;0.001076232
STOVE_ELEC;0.1875;0;1;0.008097926;0.008197926
PLANE;0.4999;0;1;0;1.00E+15
FERMENTATION_TO_BIOETHANOL;0.92;0;1;0.011848552;0.011948552
IND_BOILER_DIESEL;0.9;0;1;0.003256642;0.003356642
IND_BOILER_LPG;0.9443;0;1;0.001238494;0.001338494
LPG_STORAGE;1;0;1;23.68515083;23.68525083
CAR_FG_PRIVATE;0.1343125;0.025233;0.026232773;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.110023;0.111022655;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000722;0.001722028;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.005207;0.006206715;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.005563;0.006562597;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.001081;0.002081034;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.148021;0.149020542;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;0.000118327;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0;0.000529265;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0.000083;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.10786;0.10886;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.459717;0.460717108;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.006146;0.007146;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.024756;0.025756364;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.026233;0.027233189;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.007636;0.008635785;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.617399;0.618399131;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0;0.000491028;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.001196;0.002196321;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0;0.000345175;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.036667;0.037667134;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.158415;0.159415295;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.001473;0.002472627;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.007912;0.008912103;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.008423;0.009423108;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.001988;0.002988116;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.212976;0.213975731;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0;0.000169903;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0;0.000759961;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0;0.000119436;0;1.00E+15
TRUCK_FG;0.01805556;0.150846;0.151845568;0;1.00E+15
VAN_FG;0.0203125;0.150561;0.151561031;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.630022;0.630122302;0;1.00E+15
VAN_GASOLINE;0.0203125;0.628842;0.628941543;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0.001223;0.001323025;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.217932;0.218032131;0;1.00E+15
VAN_DIESEL;0.0203125;0.217524;0.217623569;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0.000451;0.000550832;0;1.00E+15
CONVENTIONAL_BULB;1;0.787765;0.787865261;0;1.00E+15
LED_BULB;1;0.212035;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.001245378;0.001345378
AGR_MACHINERY_DIESEL;1;0;1;0.012748367;0.012848367
FISH_MACHINERY_DIESEL;1;0;1;0.004146743;0.004246743
FISH_MACHINERY_EL;1;0;1;0.006697538;0.006797538
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
