Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0;1;0.10002;0.10002
IND_BOILER_GAS;0.9443;0;1;0.087551852;0.0876519
IND_BOILER_WOOD;0.8946;0;1;0.018108564;0.0182086
IND_BOILER_OIL;0.9443;0;1;0.00019354;0.0002935
DHN_BOILER_GAS;0.95;0;1;0;0
DHN_BOILER_OIL;0.95;0;1;0;0
DEC_BOILER_GAS;1;0.0239498;0.0240498;0;1.00E+15
DEC_SOLAR;1;0.042007914;0.042107914;0;1.00E+15
DEC_DIRECT_ELEC;1;0.934042284;0.934142284;0;1.00E+15
TRAMWAY_TROLLEY;0.342465753;0;0.000435748;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;61.81488;61.814881
GASOLINE_STORAGE;1;0;1;15.67827971;15.67828071
JET_FUEL_STORAGE;1;0;1;2.853932;2.853933
STOVE_WOOD;0.1875;0;1;0.004209777;0.004309777
STOVE_LPG;0.1875;0;1;0.152391331;0.152491331
STOVE_NG;0.1875;0;1;0.066835792;0.066935792
STOVE_OIL;0.1875;0;1;0.000960899;0.001060899
STOVE_ELEC;0.1875;0;1;0.000875059;0.000975059
PLANE;0.114155251;0;1;0;1.00E+15
IND_BOILER_DIESEL;0.9;0;1;0.000541151;0.000641151
IND_BOILER_LPG;0.9443;0;1;0.00082742;0.00092742
LNG_STORAGE;1;0;1;1.284;1.284001
CAR_FG_PRIVATE;0.1343125;0.000702;0.001702;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.030993;0.031993;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0;0.000125;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0;0.000532;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0;0.000173;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0;0.000091;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.033294;0.034294;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;0.000032;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0;0.000066;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0.000027;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.037323;0.038323;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.719378;0.720378;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.001815;0.002815;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.010977;0.011977;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.002892;0.003892;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.001057;0.002057;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.771173;0.772173;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0;0.000724;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.000487;0.001487;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0;0.000603;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.008272;0.009272;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.173297;0.174297;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0;0.000681;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.001898;0.002898;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0;0.000942;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0;0.000498;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.185829;0.186829;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0;0.000175;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0;0.00036;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0;0.000146;0;1.00E+15
TRUCK_FG;0.01805556;0.033525;0.034525;0;1.00E+15
VAN_FG;0.0203125;0.033525;0.034525;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;1.00E+15
TRUCK_GASOLINE;0.01805556;0.776385;0.777385;0;1.00E+15
VAN_GASOLINE;0.0203125;0.776385;0.777385;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0;0;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.18709;0.18809;0;1.00E+15
VAN_DIESEL;0.0203125;0.18709;0.18809;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0;0;0;1.00E+15
REGASIFICATION;1;0;1;0.00196924;0.002069
IND_ELEC_COLD;1;0;1;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.787865261;0.787965261;0;1.00E+15
LED_BULB;1;0.212134739;0.212234739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.000297755;0.000397755
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0;1;0.007418719;0.007518719
AGR_MACHINERY_EL;1;0;1;0.018704568;0.018804568
FISH_MACHINERY_DIESEL;1;0;1;0.0014852;0.0015852
FISH_MACHINERY_EL;1;0;1;0.009302524;0.009402524
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
