Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0;1;0.00519;0.00519
IND_BOILER_WOOD;0.8946;0;1;0.002982194;0.003082194
IND_BOILER_OIL;0.9443;0;1;0.00000178;0.000102
DHN_BOILER_GAS;0.95;0;1;0;0
DHN_BOILER_OIL;0.95;0;1;0;0
DEC_BOILER_GAS;1;0.024;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.974;0.975;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;38.55312;38.553121
GASOLINE_STORAGE;1;0;1;35.68836382;35.68836482
JET_FUEL_STORAGE;1;0;1;1.416625667;1.416626667
GENSET_DIESEL;0.31205163;0;1;0.05859;0.05869
STOVE_WOOD;0.1875;0;1;0.001431953;0.001531953
STOVE_LPG;0.1875;0;1;0.0181017;0.018201696
STOVE_NG;0.1875;0;1;0.000247732;0.000347732
STOVE_OIL;0.1875;0;1;0.00001533;0.000115333
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;0.655916667;0.655917667
LNG_STORAGE;1;0;1;3.424;3.424001
IND_BOILER_DIESEL;0.9;0;1;0.000072208;0.000172208
CAR_FG_PRIVATE;0.1343125;0;0;0;0
BUS_FG_PRIVATE;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0;0;0;0
SUV_FG_PRIVATE;0.01927083;0;0;0;0
MOTORCYCLE_FG_PRIVATE;0.01989583;0;0;0;0
CAR_FG_PUBLIC;0.1343125;0;0;0;0
BUS_FG_PUBLIC;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;0;0;0
SUV_FG_PUBLIC;0.01927083;0;0;0;0
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0;0;0
CAR_GASOLINE_PRIVATE;0.1343125;0.035124572;0.036124572;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.621296728;0.622296728;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.011822986;0.012822986;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.020241317;0.021241317;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.186548654;0.187548654;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.001489267;0.002489267;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.826129331;0.827129331;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.007713784;0.008713784;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.003047745;0.004047745;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.036654129;0.037654129;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.00392448;0.00492448;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.083831118;0.084831118;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.000748022;0.001748022;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.001895604;0.002895604;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.02456652;0.02556652;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0;0.000339335;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.111753776;0.112753776;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.000187858;0.001187858;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0;0.000551786;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.004132988;0.005132988;0;1.00E+15
TRUCK_FG;0.01805556;0;0;0;0
VAN_FG;0.0203125;0;0;0;0
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.879034256;0.880034256;0;1.00E+15
VAN_GASOLINE;0.0203125;0.879034256;0.880034256;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0;0;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.118965744;0.119965744;0;1.00E+15
VAN_DIESEL;0.0203125;0.118965744;0.119965744;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0;0;0;1.00E+15
REGASIFICATION;1;0;1;0.000811396;0.000911
IND_ELEC_COLD;1;0;1;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.786865261;0.787865261;0;1.00E+15
LED_BULB;1;0.211134739;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.000085189;0.000185189
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0;1;0.002095642;0.002195642
FISH_MACHINERY_DIESEL;1;0;1;0.000469511;0.000569511
FISH_MACHINERY_EL;1;0;1;0.00001921;0.000119206
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
