;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;7.12E-05;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.004324676;0.0001;0.66131025;0.174718395;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;6.82E-05;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.002883117;0.0001;0.577786563;0.177088607;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;6.47E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.002883117;0.0001;0.537201804;0.180474622;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;6.22E-05;0;0.000164203;0.0000083;0.000114155;0;0.004324676;0.0001;0.503975588;0.178104411;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;6.06E-05;0;0.000164203;0.0000249;0.000114155;0;0.008649351;0.0001;0.47923566;0.192664277;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;5.54E-05;0;0.000164203;0.0000693;0.000114155;0;0.01009091;0.0001;0.418351473;0.19537309;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;4.81E-05;0;0.000164203;0.000143;0.000114155;0;0.015857144;0.0001;0.377907682;0.198759106;0.0001;0.137615849;0.0001
2017-01-01 07:00:00+00:00;4.83E-05;0;0.000164627;0.00019;0.000114155;0;0.027389612;0.0001;0.399955117;0.193341481;0.0001;0.344437689;0.0001
2017-01-01 08:00:00+00:00;4.98E-05;0;0.000165051;0.000168;0.000114155;0;0.044688315;0.0001;0.412473097;0.254289758;0.0001;0.54267444;0.0001
2017-01-01 09:00:00+00:00;5.17E-05;0;0.000165476;0.000165;0.000114155;0;0.06919481;0.0001;0.447771547;0.236005275;0.0001;0.708860742;0.0001
2017-01-01 10:00:00+00:00;5.53E-05;0;0.000166324;0.000179;0.000114155;0.005366459;0.096584423;0.0001;0.502551809;0.178104411;0.0001;0.827533585;0.0001
2017-01-01 11:00:00+00:00;6.03E-05;0;0.000167173;0.000196;0.000114155;0.032776331;0.119649359;0.0001;0.556204324;0.209255752;0.0001;0.888909581;0.0001
