;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;8.96E-05;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.107;0.0001;0.652882418;0.434145924;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;8.46E-05;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.121;0.0001;0.570423169;0.434261668;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;8.28E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.141;0.0001;0.530355628;0.434377412;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;8.23E-05;0;0.000164203;0.0000083;0.000114155;0;0.163;0.0001;0.497552852;0.434493155;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;8.33E-05;0;0.000164203;0.0000249;0.000114155;0;0.177;0.0001;0.473128213;0.434608898;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;8.13E-05;0;0.000164203;0.0000693;0.000114155;0;0.137;0.0001;0.413019943;0.434724642;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;7.65E-05;0;0.000164203;0.000143;0.000114155;0.062325581;0.199;0.0001;0.373091573;0.434840385;0.0001;0;0.0001
2017-01-01 07:00:00+00:00;7.60E-05;0;0.000164627;0.00019;0.000114155;0.336030514;0.24;0.0001;0.394858032;0.434956128;0.0001;0;0.0001
2017-01-01 08:00:00+00:00;7.63E-05;0;0.000165051;0.000168;0.000114155;0.582035188;0.19;0.0001;0.407216481;0.435071871;0.0001;0;0.0001
2017-01-01 09:00:00+00:00;7.71E-05;0;0.000165476;0.000165;0.000114155;0.759118982;0.112;0.0001;0.442065083;0.435187615;0.0001;0.281812539;0.0001
2017-01-01 10:00:00+00:00;7.77E-05;0;0.000166324;0.000179;0.000114155;0.810232554;0.061;0.0001;0.496147218;0.435303359;0.0001;0.555308854;0.0001
2017-01-01 11:00:00+00:00;7.74E-05;0;0.000167173;0.000196;0.000114155;0.815838559;0.034;0.0001;0.549115977;0.435419102;0.0001;0.6628229;0.0001
2017-01-01 12:00:00+00:00;7.58E-05;0;0.000168021;0.000195;0.000114155;0.838427459;0.014;0.0001;0.56889228;0.435534845;0.0001;0.580090404;0.0001
2017-01-01 13:00:00+00:00;7.77E-05;0;0.00016887;0.000185;0.000114155;0.80264796;0.006;0.0001;0.605174349;0.435650589;0.0001;0.430844037;0.0001
2017-01-01 14:00:00+00:00;8.06E-05;0;0.000169718;1.99E-04;0.000114155;0.556808168;0.006;0.0001;0.590575236;0.435766332;0.0001;0.337781916;0.0001
2017-01-01 15:00:00+00:00;8.14E-05;0;0.000170991;2.16E-04;0.000114155;0.246664204;0.011;0.0001;0.624073871;0.435882075;0.0001;0.491898646;0.0001
2017-01-01 16:00:00+00:00;0.0000813;0;0.000172264;2.24E-04;0.000114155;0.467112094;0.033;0.0001;0.600136332;0.435997819;0.0001;0.6634118;0.0001
2017-01-01 17:00:00+00:00;0.0000838;0;0.000173537;1.98E-04;0.000114155;0.049299865;0.101;0.0001;0.569699476;0.436113563;0.0001;0.366653934;0.0001
2017-01-01 18:00:00+00:00;0.0000844;0;0.00017481;1.37E-04;0.000114155;0;0.285;0.0001;0.675400405;0.436229306;0.0001;0.618273409;0.0001
2017-01-01 19:00:00+00:00;9.40E-05;0;0.000176083;9.07E-05;0.000114155;0;0.505;0.0001;0.820612187;0.436345049;0.0001;0.604346719;0.0001
2017-01-01 20:00:00+00:00;9.76E-05;0;0.00017778;6.33E-05;0.000114155;0;0.708;0.0001;0.738473032;0.436460792;0.0001;0.273758933;0.0001
2017-01-01 21:00:00+00:00;9.67E-05;0;0.000179053;4.11E-05;0.000114155;0;0.721;0.0001;0.618660091;0.436576536;0.0001;0.086584221;0.0001
2017-01-01 22:00:00+00:00;9.40E-05;0;0.00018075;2.46E-05;0.000114155;0;0.584;0.0001;0.604979508;0.436692279;0.0001;0;0.0001
2017-01-01 23:00:00+00:00;9.04E-05;0;0.000182023;8.08E-06;0.000114155;0;0.436;0.0001;0.556812174;0.436808022;0.0001;0;0.0001
2017-01-02 00:00:00+00:00;8.47E-05;0;0.00018372;6.77E-06;0.000114155;0;0.368;0.0001;0.574988002;0.436923766;0.0001;0;0.0001
2017-01-02 01:00:00+00:00;8.42E-05;0;0.000185417;0.00000375;0.000114155;0;0.34;0.0001;0.576755484;0.43703951;0.0001;0;0.0001
2017-01-02 02:00:00+00:00;8.30E-05;0;0.00018669;0.00000238;0.000114155;0;0.322;0.0001;0.585370212;0.437155253;0.0001;0;0.0001
