Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
CCGT;0.491975936;0;1;0.66885;0.66886
WIND_ONSHORE;1;0;1;0.1008;0.1008
IND_BOILER_GAS;0.9443;0;1;0.315379131;0.315479131
IND_BOILER_WOOD;0.8946;0;1;0.341061956;0.341161956
IND_BOILER_OIL;0.9443;0;1;0.000600153;0.000700153
DHN_BOILER_GAS;0.95;0;1;0;0
DHN_BOILER_OIL;0.95;0;1;0;0
DEC_BOILER_GAS;1;0.024;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.974;0.975;0;1.00E+15
CAR_BEV;0.1343125;0;0.000291046;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
BEV_BATT;1;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;483.3869772;483.3869782
GASOLINE_STORAGE;1;0;1;565.8510768;565.8510778
JET_FUEL_STORAGE;1;0;1;96.49599067;96.49599167
OCGT;0.147585818;0;1;0.23908;0.23909
GENSET_DIESEL;0.18833446;0;1;0.0099;0.0099
ST_BIOMASS;0.444478395;0;1;0.11163;0.11163
STOVE_WOOD;0.1875;0;1;0;0
STOVE_LPG;0.1875;0;1;0.600567328;0.600667328
STOVE_NG;0.1875;0;1;0.138783953;0.138883953
STOVE_OIL;0.1875;0;1;0.003705593;0.003805593
STOVE_ELEC;0.1875;0;1;0.001203058;0.001303058
PLANE;0.114155251;0;1;0;1.00E+15
FERMENTATION_TO_BIOETHANOL;0.92;0;1;0.014163859;1.43E-02
LPG_STORAGE;1;0;1;130.1774017;130.1774027
LNG_STORAGE;1;0;1;16.478;16.478001
IND_BOILER_DIESEL;0.9;0;1;0.007595587;0.007695587
IND_BOILER_LPG;0.9443;0;1;0.011897451;0.011997451
CAR_FG_PRIVATE;0.1343125;0.019365;0.020365478;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.078729;0.079729248;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000613;0.001612804;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.004237;0.005236921;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.004917;0.00591729;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.000004;0.00100422;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.110037;0.111037289;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;0.000111687;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0;0.000535051;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0.000206352;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.113624;0.114624284;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.447745;0.448745084;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.008077;0.009077444;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.028475;0.029475289;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.032305;0.033304654;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.004652;0.005652114;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.623958;0.624958075;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0;0.000628616;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.002011;0.003011459;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.000161;0.001161424;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.044404;0.045403967;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.176753;0.177752972;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.002596;0.003595678;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.010675;0.011675493;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.012192;0.013192348;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.001239;0.002238866;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.246553;0.247552918;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0;0.000249002;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.000193;0.001192873;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0;0.000460053;0;1.00E+15
TRUCK_FG;0.01805556;0.111895;0.112894599;0;1.00E+15
VAN_FG;0.0203125;0.111833;0.112832527;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.634412;0.635411689;0;1.00E+15
VAN_GASOLINE;0.0203125;0.634062;0.635062321;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0;0.000380404;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.250694;0.251693712;0;1.00E+15
VAN_DIESEL;0.0203125;0.250555;0.251555323;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0;0.000169425;0;1.00E+15
REGASIFICATION;1;0;1;0.001001901;0.001102
LIQUEFACTION;1;0;1;0.109375;0.109475
IND_ELEC_COLD;1;0;1;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.786865;0.787865261;0;1.00E+15
LED_BULB;1;0.211135;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.002441265;0.002541265
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0;1;0.048726233;0.048826233
FISH_MACHINERY_DIESEL;1;0;1;0.006283275;0.006383275
FISH_MACHINERY_EL;1;0;1;0.003568761;0.003668761
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
