Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;33.64241717;63.74128814;15.76202775;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;2.044506685;0;3.195180732;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;3.031264783;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;429.4359994;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.816276116;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;33.4040335;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;220.9106862;0;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;20.51282702;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;9884.627751;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;806.1734574;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;1.954439009;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;2.302723577;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;32.16776908;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;26.21498045;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;6.281019361;0;0;0;0;0;[GWh]
