;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;1.27E-04;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.18;0.0001;0.868340345;0.174718395;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;1.18E-04;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.195;0.0001;0.873928668;0.177088607;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;1.09E-04;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.238;0.0001;0.879516991;0.180474622;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;1.01E-04;0;0.000164203;0.0000083;0.000114155;0;0.281;0.0001;0.885105315;0.178104411;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;9.82E-05;0;0.000164203;0.0000249;0.000114155;0;0.304;0.0001;0.890693638;0.192664277;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;8.90E-05;0;0.000164203;0.0000693;0.000114155;0.015210265;0.232;0.0001;0.896281962;0.19537309;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;7.69E-05;0;0.000164203;0.000143;0.000114155;0.185058231;0.104;0.0001;0.901870284;0.198759106;0.0001;0;0.0001
2017-01-01 07:00:00+00:00;7.96E-05;0;0.000164627;0.00019;0.000114155;0.619057806;0.037;0.0001;0.907458607;0.193341481;0.0001;0;0.0001
2017-01-01 08:00:00+00:00;8.39E-05;0;0.000165051;0.000168;0.000114155;0.886504976;0.011;0.0001;0.91304693;0.254289758;0.0001;0;0.0001
2017-01-01 09:00:00+00:00;8.98E-05;0;0.000165476;0.000165;0.000114155;1.079421843;0.004;0.0001;0.918635254;0.236005275;0.0001;0.424368697;0.0001
2017-01-01 10:00:00+00:00;9.39E-05;0;0.000166324;0.000179;0.000114155;1.156233684;0.006;0.0001;0.924223577;0.178104411;0.0001;0.677371262;0.0001
2017-01-01 11:00:00+00:00;9.73E-05;0;0.000167173;0.000196;0.000114155;1.148628551;0.03;0.0001;0.929811901;0.209255752;0.0001;0.663934958;0.0001
