Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0;1;0.004;0.005
HYDRO_DAM;1;0;1;0.0066;0.0076
GENSET_DIESEL;0.155363633;0;1;0.000159233;0.001159233
OCGT;0.044875426;0;1;0.15572;0.15672
CCGT;0.3262;0;1;0.44269;0.44369
CCGT_SUR;0.3262;0;1;0;0
IND_BOILER_GAS;0.9443;0;1;0.031152609;0.031252609
IND_BOILER_WOOD;0.8946;0;1;0.021432429;0.021532429
IND_BOILER_OIL;0.9443;0;1;0.00001776;0.000117756
DHN_BOILER_GAS;0.95;0;1;0;0
DHN_BOILER_OIL;0.95;0;1;0;0
DEC_BOILER_GAS;1;0.024;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.974;0.975;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;5.4436;5.4437
DIESEL_STORAGE;1;0;1;119.26267;119.262671
GASOLINE_STORAGE;1;0;1;157.6926008;157.6926018
JET_FUEL_STORAGE;1;0;1;0.299869667;0.299870667
STOVE_WOOD;0.1875;0;1;0;0
STOVE_LPG;0.1875;0;1;0.095576318;0.095676318
STOVE_NG;0.1875;0;1;0.038807849;0.038907849
STOVE_OIL;0.1875;0;1;0.000112446;0.000212446
STOVE_ELEC;0.1875;0;1;0;0
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;785.3239706;785.3239716
IND_BOILER_DIESEL;0.9;0;1;0.00046083;0.00056083
CAR_FG_PRIVATE;0.1343125;0.014495;0.015495;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.065744;0.066744;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000342;0.001342;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.002544;0.003544;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.002584;0.003584;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.000491;0.001491;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.086998;0.087998;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;0.000293;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0;0.00051;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0.000416;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.111974;0.112974;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.485637;0.486637;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.008785;0.009785;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.024841;0.025841;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.025133;0.026133;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.009871;0.010871;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.640606;0.641606;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.001137;0.002137;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.002721;0.003721;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.002035;0.003035;0;1.00E+15
