Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
IND_BOILER_WOOD;0.8946;0.958691085;0.959691085;0;1.00E+15
IND_BOILER_OIL;0.9443;0.024675878;0.025675878;0;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.025;0.0251;0;1.00E+15
DEC_DIRECT_ELEC;1;0.975;0.9751;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;21.7956;1.00E+15
GASOLINE_STORAGE;1;0;1;14.14521313;1.00E+15
JET_FUEL_STORAGE;1;0;1;0.506676333;1.00E+15
GENSET_DIESEL;0.165539573;0.204269391;0.205269391;0;1.00E+15
STOVE_WOOD;0.1875;0.012320718;0.013320718;0.001263294;1.00E+15
STOVE_LPG;0.1875;0.942193351;0.943193351;0.077854;1.00E+15
STOVE_NG;0.1875;0.025504446;0.026504446;0.002015008;1.00E+15
STOVE_OIL;0.1875;0.019981485;0.020981485;0.001574238;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LNG_STORAGE;1;0;1;2.14;1.00E+15
IND_BOILER_DIESEL;0.9;0.016633037;0.017633037;0.000505453;1.00E+15
CAR_FG_PRIVATE;0.1343125;0;0;0;0
BUS_FG_PRIVATE;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0;0;0;0
SUV_FG_PRIVATE;0.01927083;0;0;0;0
MOTORCYCLE_FG_PRIVATE;0.01989583;0;0;0;0
CAR_FG_PUBLIC;0.1343125;0;0;0;0
BUS_FG_PUBLIC;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;0;0;0
SUV_FG_PUBLIC;0.01927083;0;0;0;0
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0;0;0
CAR_GASOLINE_PRIVATE;0.1343125;0.018136604;0.064773587;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.087191297;0.311397488;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.003542574;0.012652051;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.006023698;0.021513206;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.090372167;0.322757741;0;1.00E+15
