Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
CCGT;0.35601446;0.3514;0.3524;0.37995;1.00E+15
WIND_ONSHORE;1;0.016583;0.017583;0.027;1.00E+15
HYDRO_DAM;1;0.336692;0.337692;0.29746;1.00E+15
HYDRO_RIVER;1;0.21932;0.22032;0.13351;1.00E+15
IND_BOILER_GAS;0.9443;0.689102614;0.690103;0.189895062;1.00E+15
IND_BOILER_WOOD;0.8946;0.294998888;0.295999;0.085753856;1.00E+15
IND_BOILER_OIL;0.9443;0.001005462;0.002005;0.000197092;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_WOOD;0.9;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.097515776;0.098515776;0;1.00E+15
DEC_SOLAR;1;0.041977467;0.042977467;0;1.00E+15
DEC_DIRECT_ELEC;1;0.860506757;0.861506757;0;1.00E+15
TRAMWAY_TROLLEY;0.342465753;0.0000244;1;0;1.00E+15
CAR_BEV;0.1343125;0.0001822;1;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0.030032402;0.030032402;0;1.00E+15
GAS_TO_HVC;0.994;0.969967598;0.969967598;0;1.00E+15
BEV_BATT;1;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;541.8131;541.8132
DIESEL_STORAGE;1;0;1;449.38296;1.00E+15
JET_FUEL_STORAGE;1;0;1;115.046549;1.00E+15
GASOLINE_STORAGE;1;0;1;336.686377;1.00E+15
OCGT;0.060873063;0.076005294;0.077005294;0.48066;1.00E+15
STOVE_WOOD;0.1875;0.021463397;0.022463397;0.013968581;1.00E+15
STOVE_LPG;0.1875;0.77158582;0.77258582;0.488254766;1.00E+15
STOVE_NG;0.1875;0.19230835;0.19330835;0.121618232;1.00E+15
STOVE_OIL;0.1875;0.001696625;0.002696625;0.000976232;1.00E+15
STOVE_ELEC;0.1875;0.012945809;0.013945809;0.008097926;1.00E+15
PLANE;0.4999;0;1;0;1.00E+15
FERMENTATION_TO_BIOETHANOL;0.92;0;1;0.011848552;0.011948552
IND_BOILER_DIESEL;0.9;0.010052972;0.011053;0.003256642;1.00E+15
IND_BOILER_LPG;0.9443;0.004840064;0.00584;0.001238494;1.00E+15
LPG_STORAGE;1;0;1;23.68515083;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.0073452;1;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.0310863;1;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.0004822;1;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.0017379;1;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.0018375;1;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.0005827;1;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.0417258;1;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.0000331;1;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.0001482;1;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.0000233;1;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.0304807;1;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.1290008;1;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.0020009;1;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.0072118;1;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.0076253;1;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.0024180;1;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.1731518;1;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.0001375;1;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.0006150;1;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.0000966;1;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.0105468;1;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.0446363;1;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.0006923;1;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.0024954;1;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.0026385;1;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.0008367;1;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.0599132;1;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.0000476;1;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.0002128;1;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.0000334;1;0;1.00E+15
TRUCK_FG;0.01805556;0.0425168;1;0;1.00E+15
VAN_FG;0.0203125;0.0424371;1;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0.0000000;1;0;0
TRUCK_GASOLINE;0.01805556;0.1764342;1;0;1.00E+15
VAN_GASOLINE;0.0203125;0.1761036;1;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0.0003704;1;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.0610490;1;0;1.00E+15
VAN_DIESEL;0.0203125;0.0609346;1;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0.0001542;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.787865261;0.787965261;0;1.00E+15
LED_BULB;1;0.212134739;0.212234739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.001245378;1.00E+15
AGR_MACHINERY_DIESEL;1;0;1;0.012748367;1.00E+15
FISH_MACHINERY_DIESEL;1;0.375268332;0.376268332;0.004146743;1.00E+15
FISH_MACHINERY_EL;1;0.624731668;0.625731668;0.006697538;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
