Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;37.39293006;60.8064184;95.80199068;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.846862086;0;11.52794156;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;2.233437223;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;1103.871794;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.677850934;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;44.1730533;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;313.8188113;14.53291424;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;20.27371942;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;10371.72225;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;674.5565064;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;1.686689221;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;2.875197467;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;82.34899345;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;25.16828304;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;4.733451094;0;0;0;0;0;[GWh]
