Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
IND_BOILER_GAS;0.9443;0.665519708;0.666519708;0.067718716;1.00E+15
IND_BOILER_WOOD;0.8946;0.313838938;0.314838938;0.033658309;1.00E+15
IND_BOILER_OIL;0.9443;0.00104519;0.00204519;0.000023;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.025;0.0251;0;1.00E+15
DEC_DIRECT_ELEC;1;0.975;0.9751;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;30.224544;1.00E+15
GASOLINE_STORAGE;1;0;1;13.66924944;1.00E+15
OCGT;0.374003847;0.282961148;0.283961148;0.03376;1.00E+15
GENSET_DIESEL;0.155363633;0;1;0;1.00E+15
STOVE_WOOD;0.1875;0.040829;0.041829;0.007269026;1.00E+15
STOVE_LPG;0.1875;0.7214373;0.7224373;0.12151;1.00E+15
STOVE_NG;0.1875;0.2345097;0.2355097;0.039432337;1.00E+15
STOVE_OIL;0.1875;0.0014663;0.0024663;0.000148224;1.00E+15
STOVE_ELEC;0.1875;0.0017578;0.0027578;0.000197;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;0.138398417;1.00E+15
IND_BOILER_DIESEL;0.9;0.002209543;0.003209543;0.000619038;1.00E+15
IND_BOILER_LPG;0.9443;0.017386622;0.018386622;0.00167592;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.0040664;1;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.0221631;1;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.0002387;1;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.0008332;1;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.0006510;1;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.0005425;1;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.0271602;1;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.0000396;1;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.0001108;1;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.0000993;1;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.0297748;1;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.1622804;1;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.0017481;1;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.0061011;1;0;1.00E+15
