Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
HYDRO_DAM;1;0.090215029;0.091215029;0.06606;1.00E+15
HYDRO_RIVER;1;0.523853067;0.524853067;0.21117;1.00E+15
IND_BOILER_GAS;0.9443;0.724652976;0.725652976;0.307982509;1.00E+15
IND_BOILER_WOOD;0.8946;0.262860986;0.263860986;0.117861647;1.00E+15
IND_BOILER_OIL;0.9443;0.00060056;0.00160056;0.000174009;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.099814388;0.100814388;0;1.00E+15
DEC_SOLAR;1;0.010304813;0.011304813;0;1.00E+15
DEC_DIRECT_ELEC;1;0.889880799;0.890880799;0;1.00E+15
TRAMWAY_TROLLEY;0.342465753;0.010073;1;0;1.00E+15
CAR_BEV;0.1343125;0.000040;1;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
BEV_BATT;1;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;20.03563;20.03573
DIESEL_STORAGE;1;0;1;74.11488;1.00E+15
GASOLINE_STORAGE;1;0;1;105.0685396;1.00E+15
JET_FUEL_STORAGE;1;0;1;10.74360633;1.00E+15
OCGT;0.40285;0.080135983;0.081135983;0.04619;1.00E+15
GENSET_DIESEL;0;0;1;0.011;1.00E+15
ST_BIOMASS;0.153363775;0.002879765;0.003879765;0.015;1.00E+15
STOVE_WOOD;0.1875;0.022909795;0.023909795;0.022278877;1.00E+15
STOVE_LPG;0.1875;0.670577693;0.671577693;0.640798714;1.00E+15
STOVE_NG;0.1875;0.300419572;0.301419572;0.28702337;1.00E+15
STOVE_OIL;0.1875;0.003559635;0.004559635;0.003306923;1.00E+15
STOVE_ELEC;0.1875;0.002533305;0.003533305;0.002323495;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;16.4700675;1.00E+15
LNG_STORAGE;1;0;1;4.494;1.00E+15
IND_BOILER_DIESEL;0.9;0.007133317;0.008133317;0.00350085;1.00E+15
IND_BOILER_LPG;0.9443;0.004752161;0.005752161;0.001922301;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.000412;1;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.011708;1;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000025;1;0;1.00E+15
