;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;1.20E-04;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.029;0.0001;0.763400945;1.00413618;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;1.03E-04;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.012;0.0001;0.764397019;1.004784179;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;8.72E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.012;0.0001;0.765393094;1.005432178;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;7.91E-05;0;0.000164203;0.0000083;0.000114155;0;0.008;0.0001;0.766389168;1.006080177;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;7.55E-05;0;0.000164203;0.0000249;0.000114155;0;0.002;0.0001;0.767385244;1.006728176;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;7.37E-05;0;0.000164203;0.0000693;0.000114155;0;0.001;0.0001;0.768381318;1.007376176;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;6.53E-05;0;0.000164203;0.000143;0.000114155;0;0.001;0.0001;0.769377393;1.008024174;0.0001;0;0.0001
2017-01-01 07:00:00+00:00;6.89E-05;0;0.000164627;0.00019;0.000114155;0;0.001;0.0001;0.770373467;1.008672174;0.0001;0;0.0001
2017-01-01 08:00:00+00:00;7.51E-05;0;0.000165051;0.000168;0.000114155;0;0.006;0.0001;0.771369542;1.009320173;0.0001;0;0.0001
2017-01-01 09:00:00+00:00;8.27E-05;0;0.000165476;0.000165;0.000114155;0;0.008;0.0001;0.772365617;1.009968172;0.0001;0;0.0001
2017-01-01 10:00:00+00:00;8.91E-05;0;0.000166324;0.000179;0.000114155;0.05522;0.025;0.0001;0.773361692;1.010616171;0.0001;0.031815709;0.0001
2017-01-01 11:00:00+00:00;9.26E-05;0;0.000167173;0.000196;0.000114155;0.04809;0.077;0.0001;0.774357766;1.01126417;0.0001;0.012777815;0.0001
2017-01-01 12:00:00+00:00;9.36E-05;0;0.000168021;0.000195;0.000114155;0.08363;0.124;0.0001;0.775353841;1.011912169;0.0001;0.018188585;0.0001
2017-01-01 13:00:00+00:00;9.23E-05;0;0.00016887;0.000185;0.000114155;0.12383;0.151;0.0001;0.776349916;1.012560169;0.0001;0.004399233;0.0001
2017-01-01 14:00:00+00:00;9.02E-05;0;0.000169718;1.99E-04;0.000114155;0.17817;0.154;0.0001;0.777345991;1.013208167;0.0001;0.005506198;0.0001
2017-01-01 15:00:00+00:00;8.90E-05;0;0.000170991;2.16E-04;0.000114155;0.22565;0.132;0.0001;0.778342065;1.013856166;0.0001;0.003473581;0.0001
2017-01-01 16:00:00+00:00;0.0000882;0;0.000172264;2.24E-04;0.000114155;0.31361;0.088;0.0001;0.77933814;1.014504166;0.0001;0.06077812;0.0001
2017-01-01 17:00:00+00:00;0.0000878;0;0.000173537;1.98E-04;0.000114155;0.18111;0.069;0.0001;0.780334214;1.015152165;0.0001;0.01749196;0.0001
2017-01-01 18:00:00+00:00;0.0000921;0;0.00017481;1.37E-04;0.000114155;0.26644;0.04;0.0001;0.78133029;1.015800164;0.0001;0.072525312;0.0001
2017-01-01 19:00:00+00:00;1.20E-04;0;0.000176083;9.07E-05;0.000114155;0.31845;0.016;0.0001;0.782326364;1.016448163;0.0001;0.153009323;0.0001
