Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0.300944834;0.301944834;0.10002;1.00E+15
IND_BOILER_GAS;0.9443;0.82483261;0.82583261;0.087551852;1.00E+15
IND_BOILER_WOOD;0.8946;0.162327297;0.163327297;0.018108564;1.00E+15
IND_BOILER_OIL;0.9443;0.002540518;0.003540518;0.00019354;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.094461792;0.095461792;0;1.00E+15
DEC_SOLAR;1;0.061422333;0.062422333;0;1.00E+15
DEC_DIRECT_ELEC;1;0.844115875;0.845115875;0;1.00E+15
TRAMWAY_TROLLEY;0.342465753;0.000122009;1;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;61.81488;1.00E+15
GASOLINE_STORAGE;1;0;1;15.67827971;1.00E+15
JET_FUEL_STORAGE;1;0;1;2.853932;1.00E+15
STOVE_WOOD;0.1875;0.016986881;0.017986881;0.004209777;1.00E+15
STOVE_LPG;0.1875;0.676881922;0.677881922;0.152391331;1.00E+15
STOVE_NG;0.1875;0.297114333;0.298114333;0.066835792;1.00E+15
STOVE_OIL;0.1875;0.004696351;0.005696351;0.000960899;1.00E+15
STOVE_ELEC;0.1875;0.004320513;0.005320513;0.000875059;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
IND_BOILER_DIESEL;0.9;0.00166197;0.00266197;0.000541151;1.00E+15
IND_BOILER_LPG;0.9443;0.008637605;0.009637605;0.00082742;1.00E+15
LNG_STORAGE;1;0;1;1.284;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.0004766;1;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.0089582;1;0;1.00E+15
