;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;1.01E-04;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.025;0.0001;0.66131025;0.174718395;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;9.12E-05;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.025;0.0001;0.577786563;0.177088607;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;8.10E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.057;0.0001;0.537201804;0.180474622;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;7.53E-05;0;0.000164203;0.0000083;0.000114155;0;0.09;0.0001;0.503975588;0.178104411;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;7.11E-05;0;0.000164203;0.0000249;0.000114155;0;0.077;0.0001;0.47923566;0.192664277;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;6.78E-05;0;0.000164203;0.0000693;0.000114155;0;0.041;0.0001;0.418351473;0.19537309;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;5.83E-05;0;0.000164203;0.000143;0.000114155;0.038655136;0.038;0.0001;0.377907682;0.198759106;0.0001;0;0.0001
2017-01-01 07:00:00+00:00;5.81E-05;0;0.000164627;0.00019;0.000114155;0.16469555;0.031;0.0001;0.399955117;0.193341481;0.0001;0;0.0001
2017-01-01 08:00:00+00:00;6.04E-05;0;0.000165051;0.000168;0.000114155;0.312119658;0.011;0.0001;0.412473097;0.254289758;0.0001;0;0.0001
2017-01-01 09:00:00+00:00;6.43E-05;0;0.000165476;0.000165;0.000114155;0.380382983;0.003;0.0001;0.447771547;0.236005275;0.0001;0.236679198;0.0001
2017-01-01 10:00:00+00:00;6.69E-05;0;0.000166324;0.000179;0.000114155;0.455123098;0.001;0.0001;0.502551809;0.178104411;0.0001;0.382663205;0.0001
2017-01-01 11:00:00+00:00;6.80E-05;0;0.000167173;0.000196;0.000114155;0.449571562;0.001;0.0001;0.556204324;0.209255752;0.0001;0.235411584;0.0001
2017-01-01 12:00:00+00:00;6.85E-05;0;0.000168021;0.000195;0.000114155;0.477740465;0;0.0001;0.576235912;0.223815619;0.0001;0.352379381;0.0001
2017-01-01 13:00:00+00:00;6.78E-05;0;0.00016887;0.000185;0.000114155;0.418626893;0;0.0001;0.612986334;0.224492823;0.0001;0.480035076;0.0001
2017-01-01 14:00:00+00:00;6.71E-05;0;0.000169718;1.99E-04;0.000114155;0.395701108;0.001;0.0001;0.598198766;0.440182005;0.0001;0.50068156;0.0001
2017-01-01 15:00:00+00:00;6.69E-05;0;0.000170991;2.16E-04;0.000114155;0.345737289;0.002;0.0001;0.632129823;0.438827598;0.0001;0.331646075;0.0001
2017-01-01 16:00:00+00:00;0.0000671;0;0.000172264;2.24E-04;0.000114155;0.056132191;0.022;0.0001;0.607883283;0.459482293;0.0001;0.3418304;0.0001
2017-01-01 17:00:00+00:00;0.0000681;0;0.000173537;1.98E-04;0.000114155;0.038757942;0.041;0.0001;0.577053528;0.736458354;0.0001;0.241862525;0.0001
2017-01-01 18:00:00+00:00;0.0000724;0;0.00017481;1.37E-04;0.000114155;0;0.108;0.0001;0.684118913;0.891876461;0.0001;0.176076821;0.0001
2017-01-01 19:00:00+00:00;9.58E-05;0;0.000176083;9.07E-05;0.000114155;0;0.305;0.0001;0.831205184;0.88273422;0.0001;0.159450237;0.0001
2017-01-01 20:00:00+00:00;1.09E-04;0;0.00017778;6.33E-05;0.000114155;0;0.375;0.0001;0.748005723;0.871560368;0.0001;0.134210823;0.0001
2017-01-01 21:00:00+00:00;1.03E-04;0;0.000179053;4.11E-05;0.000114155;0;0.341;0.0001;0.626646158;0.798422436;0.0001;0.039009524;0.0001
2017-01-01 22:00:00+00:00;9.28E-05;0;0.00018075;2.46E-05;0.000114155;0;0.357;0.0001;0.612788978;0.287134108;0.0001;0;0.0001
2017-01-01 23:00:00+00:00;8.33E-05;0;0.000182023;8.08E-06;0.000114155;0;0.376;0.0001;0.563999868;0.166253357;0.0001;0;0.0001
2017-01-02 00:00:00+00:00;7.49E-05;0;0.00018372;6.77E-06;0.000114155;0;0.382;0.0001;0.582410322;0.430286377;0.0001;0;0.0001
2017-01-02 01:00:00+00:00;6.88E-05;0;0.000185417;0.00000375;0.000114155;0;0.379;0.0001;0.584200619;0.43081121;0.0001;0;0.0001
2017-01-02 02:00:00+00:00;6.53E-05;0;0.00018669;0.00000238;0.000114155;0;0.366;0.0001;0.592926552;0.45615553;0.0001;0;0.0001
2017-01-02 03:00:00+00:00;6.47E-05;0;0.000188388;0.0000083;0.000114155;0;0.359;0.0001;0.583664939;0.452947275;0.0001;0;0.0001
2017-01-02 04:00:00+00:00;6.39E-05;0;0.000190085;0.0000249;0.000114155;0;0.362;0.0001;0.599580255;0.454614892;0.0001;0;0.0001
2017-01-02 05:00:00+00:00;6.42E-05;0;0.000191782;0.0000693;0.000114155;0;0.293;0.0001;0.619978361;0.458161752;0.0001;0;0.0001
2017-01-02 06:00:00+00:00;6.08E-05;0;0.000193055;0.000143;0.000114155;0.001644899;0.161;0.0001;0.604288594;0.447504261;0.0001;0;0.0001
