Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0.16421461;0.16521461;0.00519;1.00E+15
IND_BOILER_WOOD;0.8946;0.978411377;0.979411377;0.002982194;1.00E+15
IND_BOILER_OIL;0.9443;0.013465569;0.014465569;0.00000178;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.025;0.0251;0;1.00E+15
DEC_DIRECT_ELEC;1;0.975;0.9751;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;1.00E+15
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;38.55312;1.00E+15
GASOLINE_STORAGE;1;0;1;35.68836382;1.00E+15
JET_FUEL_STORAGE;1;0;1;1.416625667;1.00E+15
GENSET_DIESEL;0.31205163;0.83578539;0.83678539;0.05859;1.00E+15
STOVE_WOOD;0.1875;0.05836866;0.05936866;0.001431953;1.00E+15
STOVE_LPG;0.1875;0.9182946;0.9192946;0.0181017;1.00E+15
STOVE_NG;0.1875;0.017534412;0.018534412;0.000247732;1.00E+15
STOVE_OIL;0.1875;0.005802328;0.006802328;0.00001533;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;0.655916667;1.00E+15
LNG_STORAGE;1;0;1;3.424;1.00E+15
IND_BOILER_DIESEL;0.9;0.008123054;0.009123054;0.000072208;1.00E+15
CAR_FG_PRIVATE;0.1343125;0;0;0;0
BUS_FG_PRIVATE;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0;0;0;0
SUV_FG_PRIVATE;0.01927083;0;0;0;0
MOTORCYCLE_FG_PRIVATE;0.01989583;0;0;0;0
CAR_FG_PUBLIC;0.1343125;0;0;0;0
BUS_FG_PUBLIC;0.48372222;0;0;0;0
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0;0;0;0
SUV_FG_PUBLIC;0.01927083;0;0;0;0
MOTORCYCLE_FG_PUBLIC;0.01989583;0;0;0;0
CAR_GASOLINE_PRIVATE;0.1343125;0.0101149;1;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.1742431;1;0;1.00E+15
