Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;16.13090178;20.96057384;170.7156388;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.449356247;0;12.65114256;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;1.582572847;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;423.3735562;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;1.695139657;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;83.77225707;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;335.5085487;27.23022152;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;32.43795108;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;19224.14367;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;965.9908968;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;1.737921743;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;4.589695166;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;720.8392504;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;56.12283923;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;5.187951082;0;0;0;0;0;[GWh]
