Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0.1325286;0.1335286;0.06006;1.00E+15
HYDRO_DAM;1;0.002644033;0.003644033;0.0008;1.00E+15
HYDRO_RIVER;1;0.066588665;0.067588665;0.01904;1.00E+15
GEOTHERMAL;0.914;0;1;0.055;0.885
IND_BOILER_GAS;0.9443;0.516193707;0.517193707;0.020078432;1.00E+15
IND_BOILER_WOOD;0.8946;0.452301693;0.453301693;0.018563507;1.00E+15
IND_BOILER_OIL;0.9443;0.001553479;0.002553479;0.000042614;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.025;0.0251;0;1.00E+15
DEC_DIRECT_ELEC;1;0.975;0.9751;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;0.29667;0.29677
DIESEL_STORAGE;1;0;1;44.662284;1.00E+15
GASOLINE_STORAGE;1;0;1;35.45537336;1.00E+15
JET_FUEL_STORAGE;1;0;1;5.945691667;1.00E+15
OCGT;0.51298516;0.006942671;0.007942671;0.0016;1.00E+15
STOVE_WOOD;0.1875;0.061232524;0.062232524;0.011790025;1.00E+15
STOVE_LPG;0.1875;0.605759958;0.606759958;0.112704292;1.00E+15
STOVE_NG;0.1875;0.329754465;0.330754465;0.061306668;1.00E+15
STOVE_OIL;0.1875;0.001930818;0.002930818;0.000260669;1.00E+15
STOVE_ELEC;0.1875;0.001322235;0.002322235;0.000146818;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;0.203990083;1.00E+15
LNG_STORAGE;1;0;1;2.675;1.00E+15
IND_BOILER_DIESEL;0.9;0.000823234;0.001823234;0.000236094;1.00E+15
IND_BOILER_LPG;0.9443;0.029127887;0.030127887;0.001147584;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.000088;1;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.000734;1;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000006;1;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.000024;1;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.000009;1;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.000010;1;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.000848;1;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.000001;1;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.000002;1;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.000001;1;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.022160;1;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.183728;1;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.001624;1;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.006055;1;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.002322;1;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.002577;1;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.212378;1;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.000212;1;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.000500;1;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.000223;1;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.006492;1;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.053827;1;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.000476;1;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.001774;1;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.000680;1;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.000755;1;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.062220;1;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.000062;1;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.000146;1;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.000065;1;0;1.00E+15
TRUCK_FG;0.01805556;0.000862;1;0;1.00E+15
VAN_FG;0.0203125;0.000862;1;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0.000000;1;0;0
TRUCK_GASOLINE;0.01805556;0.215889;1;0;1.00E+15
VAN_GASOLINE;0.0203125;0.215889;1;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0.000000;1;0;0
TRUCK_DIESEL_P;0.01805556;0.063249;1;0;1.00E+15
VAN_DIESEL;0.0203125;0.063249;1;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0.000000;1;0;0
REGASIFICATION;1;0;1;0.0043055;1.00E+15
IND_ELEC_COLD;1;0;1;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.787865261;0.787965261;0;1.00E+15
LED_BULB;1;0.212134739;0.212234739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.000490849;1.00E+15
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0.224368003;0.225368003;0.0156443;1.00E+15
AGR_MACHINERY_EL;1;0.775631997;0.776631997;0.053737439;1.00E+15
FISH_MACHINERY_DIESEL;1;0.357716636;0.358716636;0.00200948;1.00E+15
FISH_MACHINERY_EL;1;0.642283364;0.643283364;0.003392418;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
