Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
CCGT;0.491975936;0;1;0.66885;1.00E+15
WIND_ONSHORE;1;0;1;0.1008;1.00E+15
IND_BOILER_GAS;0.9443;0;1;0.315379131;1.00E+15
IND_BOILER_WOOD;0.8946;0;1;0.341061956;1.00E+15
IND_BOILER_OIL;0.9443;0;1;0.000600153;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.025;0.0251;0;1.00E+15
DEC_DIRECT_ELEC;1;0.975;0.9751;0;1.00E+15
CAR_BEV;0.1343125;0.0000815;1;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
BEV_BATT;1;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;483.3869772;1.00E+15
GASOLINE_STORAGE;1;0;1;565.8510768;1.00E+15
JET_FUEL_STORAGE;1;0;1;96.49599067;1.00E+15
OCGT;0.147585818;0;1;0.23908;1.00E+15
GENSET_DIESEL;0.18833446;0;1;0.0099;1.00E+15
ST_BIOMASS;0.444478395;0;1;0.11163;1.00E+15
STOVE_WOOD;0.1875;0;1;0;0
STOVE_LPG;0.1875;0;1;0.600567328;1.00E+15
STOVE_NG;0.1875;0;1;0.138783953;1.00E+15
STOVE_OIL;0.1875;0;1;0.003705593;1.00E+15
STOVE_ELEC;0.1875;0;1;0.001203058;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
FERMENTATION_TO_BIOETHANOL;0.92;0;1;0.014163859;0.014174
LPG_STORAGE;1;0;1;130.1774017;1.00E+15
LNG_STORAGE;1;0;1;16.478;1.00E+15
IND_BOILER_DIESEL;0.9;0;1;0.007595587;1.00E+15
IND_BOILER_LPG;0.9443;0;1;0.011897451;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.0057023;1;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.0223242;1;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.0004516;1;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.0014663;1;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.0016568;1;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.0002812;1;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.0310904;1;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.0000313;1;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.0001498;1;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.0000578;1;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.0320948;1;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.1256486;1;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.0025417;1;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.0082531;1;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.0093253;1;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.0015826;1;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.1749883;1;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.0001760;1;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.0008432;1;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.0003252;1;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.0127131;1;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.0497708;1;0;1.00E+15
