Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;39.90031692;75.59794485;20.64266381;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;2.424809867;0;4.184553071;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;3.595117011;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;562.408785;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.968113441;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;39.61759162;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;262.0027713;0;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;24.32846332;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;11723.28921;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;956.1315645;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;2.317988529;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;2.73105828;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;38.15136693;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;31.09128692;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;7.449365658;0;0;0;0;0;[GWh]
