Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
IND_BOILER_GAS;0.9443;0.664445134;0.665445134;0.067718716;1.00E+15
IND_BOILER_WOOD;0.8946;0.312892622;0.313892622;0.033658309;1.00E+15
IND_BOILER_OIL;0.9443;0;0.000826841;0.000023;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.024;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.974;0.975;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;30.224544;30.224544
GASOLINE_STORAGE;1;0;1;13.66924944;13.66924944
OCGT;0.374003847;0;1;0.03376;1.00E+15
GENSET_DIESEL;0.155363633;0;1;0.00004;1.00E+15
STOVE_WOOD;0.1875;0.042808639;0.043808639;0.007269026;1.00E+15
STOVE_LPG;0.1875;0.717996172;0.718996172;0.12151;1.00E+15
STOVE_NG;0.1875;0.233017236;0.234017236;0.039432337;1.00E+15
STOVE_OIL;0.1875;0.000775003;0.001775003;0.000148224;1.00E+15
STOVE_ELEC;0.1875;0.00040295;0.00140295;0.000197;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;0.138398417;0.138398417
IND_BOILER_DIESEL;0.9;0.003821467;0.004821467;0.000619038;1.00E+15
IND_BOILER_LPG;0.9443;0.014013936;0.015013936;0.00167592;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.004066;0.014523;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.022163;0.079154;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000239;0.000853;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.000833;0.002976;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.000651;0.002325;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.000543;0.001938;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.02716;0.097001;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.00004;0.000141;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.000111;0.000396;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.000099;0.000355;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.029775;0.106338;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.16228;0.579573;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.001748;0.006243;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.006101;0.02179;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.004767;0.017023;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.003973;0.014188;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.19887;0.710248;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.00029;0.001036;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.000812;0.002899;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.000727;0.002597;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.006892;0.024615;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.037564;0.134158;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.000405;0.001445;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.001412;0.005044;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.001103;0.003941;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.00092;0.003284;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.046034;0.164406;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.000067;0.00024;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.000188;0.000671;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.000168;0.000601;0;1.00E+15
TRUCK_FG;0.01805556;0.027953;0.09983;0;1.00E+15
VAN_FG;0.0203125;0.027916;0.099698;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.204671;0.730967;0;1.00E+15
VAN_GASOLINE;0.0203125;0.2044;0.729999;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0.00029;0.001034;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.047377;0.169202;0;1.00E+15
VAN_DIESEL;0.0203125;0.047314;0.168978;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0.000081;0.00029;0;1.00E+15
IND_ELEC_COLD;1;0;1;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
