Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
HYDRO_DAM;1;0;1;0.06606;0.06606
HYDRO_RIVER;1;0;1;0.21117;0.21117
IND_BOILER_GAS;0.9443;0.72365;0.724650183;0.307982509;1.00E+15
IND_BOILER_WOOD;0.8946;0.261879;0.262879023;0.117861647;1.00E+15
IND_BOILER_OIL;0.9443;0;0.000448504;0.000174009;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.023869;0.024869006;0;1.00E+15
DEC_SOLAR;1;0.006092;0.00709183;0;1.00E+15
DEC_DIRECT_ELEC;1;0.967039;0.968039164;0;1.00E+15
TRAMWAY_TROLLEY;0.342465753;0.010073;0.035975704;0;1.00E+15
CAR_BEV;0.1343125;0.00004;0.000142246;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
BEV_BATT;1;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;20.03563;20.03573
DIESEL_STORAGE;1;0;1;74.11488;74.11488
GASOLINE_STORAGE;1;0;1;105.0685396;105.0685396
JET_FUEL_STORAGE;1;0;1;10.74360633;10.74360633
OCGT;0.40285;0;1;0.04619;1.00E+15
GENSET_DIESEL;0;0;1;0.011;0.011
ST_BIOMASS;0.153363775;0;1;0.015;0.015
STOVE_WOOD;0.1875;0.0224688;0.023468756;0.022278877;1.00E+15
STOVE_LPG;0.1875;0.6695161;0.670516104;0.640798714;1.00E+15
STOVE_NG;0.1875;0.2994315;0.300431487;0.28702337;1.00E+15
STOVE_OIL;0.1875;0.0026203;0.003620325;0.003306923;1.00E+15
STOVE_ELEC;0.1875;0.0009633;0.001963329;0.002323495;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;16.4700675;16.4700675
LNG_STORAGE;1;0;1;4.494;4.494
IND_BOILER_DIESEL;0.9;0.006949;0.007948712;0.00350085;1.00E+15
IND_BOILER_LPG;0.9443;0.003074;0.004073578;0.001922301;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.000412;0.001472;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.011708;0.041816;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000025;0.00009;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.000108;0.000386;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.000035;0.000125;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.000121;0.000432;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.011628;0.04153;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.000025;0.00009;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.00004;0.000142;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.000034;0.000122;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.007126;0.025451;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.202489;0.723176;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.000438;0.001565;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.001869;0.006674;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.000606;0.002166;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.002092;0.00747;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.201108;0.718242;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.000433;0.001548;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.000689;0.002459;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.000591;0.00211;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.001849;0.006603;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.052538;0.187634;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.000114;0.000406;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.000485;0.001732;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.000157;0.000562;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.000543;0.001938;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.052179;0.186354;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.000112;0.000402;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.000179;0.000638;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.000153;0.000548;0;1.00E+15
TRUCK_FG;0.01805556;0.012291;0.043895;0;1.00E+15
VAN_FG;0.0203125;0.012286;0.043877;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.212559;0.75914;0;1.00E+15
VAN_GASOLINE;0.0203125;0.212473;0.758831;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0.0001;0.000358;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.05515;0.196965;0;1.00E+15
VAN_DIESEL;0.0203125;0.055128;0.196885;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0.000014;0.000049;0;1.00E+15
REGASIFICATION;1;0;1;0.002341198;0.002341198
IND_ELEC_COLD;1;0;1;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.7868653;0.787865261;0;1.00E+15
LED_BULB;1;0.2111347;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.002307397;1.00E+15
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0.89267584;0.89367584;0.019244857;1.00E+15
AGR_MACHINERY_EL;1;0.10532416;0.10632416;0.002367534;1.00E+15
FISH_MACHINERY_DIESEL;1;0.614851589;0.615851589;0.00429059;1.00E+15
FISH_MACHINERY_EL;1;0.383148411;0.384148411;0.002790059;1.00E+15
