Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0;1;0.06006;0.06006
HYDRO_DAM;1;0;1;0.0008;0.0008
HYDRO_RIVER;1;0;1;0.01904;0.01904
GEOTHERMAL;0.914;0;1;0.055;0.055
IND_BOILER_GAS;0.9443;0.514991704;0.515991704;0.020078432;1.00E+15
IND_BOILER_WOOD;0.8946;0.451303785;0.452303785;0.018563507;1.00E+15
IND_BOILER_OIL;0.9443;0.001359041;0.002359041;0.000042614;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.024;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.974;0.975;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DAM_STORAGE;1;0;1;0.29667;0.29677
DIESEL_STORAGE;1;0;1;44.662284;44.662284
GASOLINE_STORAGE;1;0;1;35.45537336;35.45537336
JET_FUEL_STORAGE;1;0;1;5.945691667;5.945691667
OCGT;0.51298516;0;1;0.0016;1.00E+15
STOVE_WOOD;0.1875;0.062941648;0.063941648;0.011790025;1.00E+15
STOVE_LPG;0.1875;0.602763257;0.603763257;0.112704292;1.00E+15
STOVE_NG;0.1875;0.327887399;0.328887399;0.061306668;1.00E+15
STOVE_OIL;0.1875;0.001206168;0.002206168;0.000260669;1.00E+15
STOVE_ELEC;0.1875;0.000201528;0.001201528;0.000146818;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;0.203990083;0.203990083
LNG_STORAGE;1;0;1;2.675;2.675
IND_BOILER_DIESEL;0.9;0.004148277;0.005148277;0.000236094;1.00E+15
IND_BOILER_LPG;0.9443;0.023197193;0.024197193;0.001147584;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.000088;0.000316;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.000734;0.00262;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000006;0.000023;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.000024;0.000086;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.000009;0.000033;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.00001;0.000037;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.000848;0.003029;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.000001;0.000003;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.000002;0.000007;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.000001;0.000003;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.02216;0.079144;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.183728;0.65617;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.001624;0.0058;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.006055;0.021626;0;1.00E+15
MOTORCYCLE_GASOLINE_PRIVATE;0.01989583;0.002322;0.008292;0;1.00E+15
CAR_GASOLINE_PUBLIC;0.1343125;0.002577;0.009204;0;1.00E+15
BUS_GASOLINE_PUBLIC;0.48372222;0.212378;0.758491;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PUBLIC;0.01679167;0.000212;0.000758;0;1.00E+15
SUV_GASOLINE_PUBLIC;0.01927083;0.0005;0.001784;0;1.00E+15
MOTORCYCLE_GASOLINE_PUBLIC;0.01989583;0.000223;0.000795;0;1.00E+15
CAR_DIESEL_PRIVATE;0.1343125;0.006492;0.023187;0;1.00E+15
BUS_DIESEL_PRIVATE;0.48372222;0.053827;0.192238;0;1.00E+15
PICKUP_TRUCK_DIESEL_PRIVATE;0.01679167;0.000476;0.001699;0;1.00E+15
SUV_DIESEL_PRIVATE;0.01927083;0.001774;0.006336;0;1.00E+15
MOTORCYCLE_DIESEL_PRIVATE;0.01989583;0.00068;0.002429;0;1.00E+15
CAR_DIESEL_PUBLIC;0.1343125;0.000755;0.002696;0;1.00E+15
BUS_DIESEL_PUBLIC;0.48372222;0.06222;0.222215;0;1.00E+15
PICKUP_TRUCK_DIESEL_PUBLIC;0.01679167;0.000062;0.000222;0;1.00E+15
SUV_DIESEL_PUBLIC;0.01927083;0.000146;0.000523;0;1.00E+15
MOTORCYCLE_DIESEL_PUBLIC;0.01989583;0.000065;0.000233;0;1.00E+15
TRUCK_FG;0.01805556;0.000862;0.003079;0;1.00E+15
VAN_FG;0.0203125;0.000862;0.003079;0;1.00E+15
CARGO_MOTORCYCLE_FG;0.01075;0;0;0;0
TRUCK_GASOLINE;0.01805556;0.215889;0.771032;0;1.00E+15
VAN_GASOLINE;0.0203125;0.215889;0.771032;0;1.00E+15
CARGO_MOTORCYCLE_GASOLINE;0.01075;0;0;0;0
TRUCK_DIESEL_P;0.01805556;0.063249;0.225889;0;1.00E+15
VAN_DIESEL;0.0203125;0.063249;0.225889;0;1.00E+15
CARGO_MOTORCYCLE_DIESEL;0.01075;0;0;0;0
REGASIFICATION;1;0;1;0.0043055;0.0043055
IND_ELEC_COLD;1;0;1;0;1.00E+15
DEC_ELEC_COLD;1;0;1;0;1.00E+15
CONVENTIONAL_BULB;1;0.786865261;0.787865261;0;1.00E+15
LED_BULB;1;0.211134739;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
REFRIGERATOR_EL;1;0;1;0;1.00E+15
COMM_MACHINERY_DIESEL;1;0;1;0.000490849;1.00E+15
MIN_MACHINERY_DIESEL;1;0;1;0;1.00E+15
TRACTOR_DIESEL;1;0;1;0;1.00E+15
AGR_MACHINERY_DIESEL;1;0.225495976;0.226495976;0.0156443;1.00E+15
AGR_MACHINERY_EL;1;0.772504024;0.773504024;0.053737439;1.00E+15
FISH_MACHINERY_DIESEL;1;0.383424952;0.384424952;0.00200948;1.00E+15
FISH_MACHINERY_EL;1;0.614575048;0.615575048;0.003392418;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
