;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;1.09E-04;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.236;0.0001;0.66131025;0.174718395;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;1.04E-04;7.51325E-05;0.000164627;0.00000375;0.000114155;0;0.218;0.0001;0.577786563;0.177088607;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;9.63E-05;3.16965E-05;0.000164203;0.00000238;0.000114155;0;0.224;0.0001;0.537201804;0.180474622;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;9.23E-05;0;0.000164203;0.0000083;0.000114155;0;0.244;0.0001;0.503975588;0.178104411;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;8.83E-05;0;0.000164203;0.0000249;0.000114155;0;0.28;0.0001;0.47923566;0.192664277;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;8.47E-05;0;0.000164203;0.0000693;0.000114155;0;0.26;0.0001;0.418351473;0.19537309;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;7.59E-05;0;0.000164203;0.000143;0.000114155;0;0.177;0.0001;0.377907682;0.198759106;0.0001;0;0.0001
2017-01-01 07:00:00+00:00;7.72E-05;0;0.000164627;0.00019;0.000114155;0;0.327;0.0001;0.399955117;0.193341481;0.0001;0;0.0001
2017-01-01 08:00:00+00:00;8.20E-05;0;0.000165051;0.000168;0.000114155;0;0.408;0.0001;0.412473097;0.254289758;0.0001;0;0.0001
2017-01-01 09:00:00+00:00;8.58E-05;0;0.000165476;0.000165;0.000114155;0.10428;0.43;0.0001;0.447771547;0.236005275;0.0001;0.119371393;0.0001
2017-01-01 10:00:00+00:00;8.97E-05;0;0.000166324;0.000179;0.000114155;0.20327;0.431;0.0001;0.502551809;0.178104411;0.0001;0.170461233;0.0001
2017-01-01 11:00:00+00:00;9.66E-05;0;0.000167173;0.000196;0.000114155;0.27737;0.425;0.0001;0.556204324;0.209255752;0.0001;0.188303441;0.0001
2017-01-01 12:00:00+00:00;1.02E-04;0;0.000168021;0.000195;0.000114155;0.46553;0.431;0.0001;0.576235912;0.223815619;0.0001;0.378754556;0.0001
2017-01-01 13:00:00+00:00;1.06E-04;0;0.00016887;0.000185;0.000114155;0.50861;0.432;0.0001;0.612986334;0.224492823;0.0001;0.34247127;0.0001
2017-01-01 14:00:00+00:00;1.11E-04;0;0.000169718;1.99E-04;0.000114155;0.61132;0.419;0.0001;0.598198766;0.440182005;0.0001;0.490485188;0.0001
2017-01-01 15:00:00+00:00;1.13E-04;0;0.000170991;2.16E-04;0.000114155;0.19572;0.402;0.0001;0.632129823;0.438827598;0.0001;0.06279879;0.0001
2017-01-01 16:00:00+00:00;0.000112;0;0.000172264;2.24E-04;0.000114155;0.32179;0.35;0.0001;0.607883283;0.459482293;0.0001;0.172443701;0.0001
2017-01-01 17:00:00+00:00;0.00011;0;0.000173537;1.98E-04;0.000114155;0.20859;0.398;0.0001;0.577053528;0.736458354;0.0001;0.017212362;0.0001
2017-01-01 18:00:00+00:00;0.000111;0;0.00017481;1.37E-04;0.000114155;0.09991;0.475;0.0001;0.684118913;0.891876461;0.0001;0.001383597;0.0001
2017-01-01 19:00:00+00:00;1.33E-04;0;0.000176083;9.07E-05;0.000114155;0.08105;0.469;0.0001;0.831205184;0.88273422;0.0001;0.014827205;0.0001
2017-01-01 20:00:00+00:00;1.34E-04;0;0.00017778;6.33E-05;0.000114155;0.07324;0.463;0.0001;0.748005723;0.871560368;0.0001;0.031574926;0.0001
2017-01-01 21:00:00+00:00;1.31E-04;0;0.000179053;4.11E-05;0.000114155;0.00898;0.589;0.0001;0.626646158;0.798422436;0.0001;0.009736807;0.0001
2017-01-01 22:00:00+00:00;1.25E-04;0;0.00018075;2.46E-05;0.000114155;0;0.655;0.0001;0.612788978;0.287134108;0.0001;0;0.0001
2017-01-01 23:00:00+00:00;1.17E-04;0;0.000182023;8.08E-06;0.000114155;0;0.669;0.0001;0.563999868;0.166253357;0.0001;0;0.0001
2017-01-02 00:00:00+00:00;1.08E-04;0;0.00018372;6.77E-06;0.000114155;0;0.651;0.0001;0.582410322;0.430286377;0.0001;0;0.0001
2017-01-02 01:00:00+00:00;9.97E-05;0;0.000185417;0.00000375;0.000114155;0;0.662;0.0001;0.584200619;0.43081121;0.0001;0;0.0001
2017-01-02 02:00:00+00:00;9.45E-05;0;0.00018669;0.00000238;0.000114155;0;0.668;0.0001;0.592926552;0.45615553;0.0001;0;0.0001
2017-01-02 03:00:00+00:00;8.22E-05;0;0.000188388;0.0000083;0.000114155;0;0.64;0.0001;0.583664939;0.452947275;0.0001;0;0.0001
2017-01-02 04:00:00+00:00;7.94E-05;0;0.000190085;0.0000249;0.000114155;0;0.562;0.0001;0.599580255;0.454614892;0.0001;0;0.0001
2017-01-02 05:00:00+00:00;7.65E-05;0;0.000191782;0.0000693;0.000114155;0;0.439;0.0001;0.619978361;0.458161752;0.0001;0;0.0001
2017-01-02 06:00:00+00:00;7.24E-05;0;0.000193055;0.000143;0.000114155;0;0.468;0.0001;0.604288594;0.447504261;0.0001;0;0.0001
2017-01-02 07:00:00+00:00;7.48E-05;0;0.000194752;0.00019;0.000114155;0;0.74;0.0001;0.580591832;0.410723668;0.0001;0;0.0001
2017-01-02 08:00:00+00:00;0.0000822;0;0.000196449;0.000168;0.000114155;0;0.826;0.0001;0.628577423;0.271219835;0.0001;0;0.0001
2017-01-02 09:00:00+00:00;0.0000956;0;0.000197722;0.000165;0.000114155;0.00039;0.86;0.0001;0.607728219;0.326411886;0.0001;0;0.0001
2017-01-02 10:00:00+00:00;0.000104437;0;0.000198995;0.000179;0.000114155;0.01913;0.863;0.0001;0.589303669;0.365351063;0.0001;0;0.0001
2017-01-02 11:00:00+00:00;0.000107233;0;0.000200692;0.000196;0.000114155;0.08395;0.843;0.0001;0.623305211;0.362980853;0.0001;0.015715185;0.0001
2017-01-02 12:00:00+00:00;0.000107816;0;0.000201965;0.000195;0.000114155;0.09195;0.801;0.0001;0.586286948;0.367044072;0.0001;0.001321645;0.0001
2017-01-02 13:00:00+00:00;0.000103958;0;0.000203238;0.000185;0.000114155;0.21196;0.745;0.0001;0.612845367;0.571517079;0.0001;0.014145732;0.0001
2017-01-02 14:00:00+00:00;0.000105452;0;0.000204511;1.99E-04;0.000114155;0.19421;0.678;0.0001;0.619654133;0.561435218;0.0001;0.002519386;0.0001
2017-01-02 15:00:00+00:00;0.000104848;0;0.000205784;2.16E-04;0.000114155;0.27014;0.548;0.0001;0.61345153;0.566302618;0.0001;0.061890159;0.0001
2017-01-02 16:00:00+00:00;0.000104104;0;0.000206632;2.24E-04;0.000114155;0.38459;0.452;0.0001;0.610815424;0.551217919;0.0001;0.120899545;0.0001
2017-01-02 17:00:00+00:00;0.000104541;0;0.000207905;1.98E-04;0.000114155;0.38458;0.494;0.0001;0.551481888;0.781797093;0.0001;0.298392343;0.0001
2017-01-02 18:00:00+00:00;0.000107181;0;0.000208754;1.37E-04;0.000114155;0.28991;0.526;0.0001;0.692238685;0.86619353;0.0001;0.166465322;0.0001
2017-01-02 19:00:00+00:00;0.000127134;0;0.000209602;9.07E-05;0.000114155;0.2511;0.503;0.0001;0.801714627;0.872000551;0.0001;0.167931522;0.0001
2017-01-02 20:00:00+00:00;0.000129331;0;0.000210451;6.33E-05;0.000114155;0.08801;0.445;0.0001;0.765302529;0.861292282;0.0001;0.057037244;0.0001
2017-01-02 21:00:00+00:00;1.27E-04;0;0.000210875;4.11E-05;0.000114155;0.00612;0.389;0.0001;0.699921453;0.863611698;0.0001;0.007341325;0.0001
2017-01-02 22:00:00+00:00;1.21E-04;0;0.0002113;2.46E-05;0.000114155;0;0.412;0.0001;0.629620587;0.584290815;0.0001;0;0.0001
2017-01-02 23:00:00+00:00;1.12E-04;0;0.000211724;8.08E-06;0.000114155;0;0.544;0.0001;0.663650324;0.231264853;0.0001;0;0.0001
