Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;37.39293004;60.80641836;95.80199063;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.846862075;0;11.52794156;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;2.233437208;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;1103.871804;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.677850923;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;44.17305257;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;313.8188061;14.532914;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;20.27371909;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;10371.72208;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;674.5564951;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;1.686689193;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;2.875197419;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;82.34899206;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;25.16828262;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;4.733451016;0;0;0;0;0;[GWh]
