Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
PV_UTILITY;1;0.00066951;0.00166951;0.00006;1.00E+15
IND_BOILER_WOOD;0.8946;0;1;0;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;0;1.00E+15
GASOLINE_STORAGE;1;0;1;0;1.00E+15
LPG_STORAGE;1;0;1;0;1.00E+15
OCGT;1;0.994826224;0.995826224;0.01369;1.00E+15
GENSET_DIESEL;1;0.001504265;0.002504265;0;1.00E+15
STOVE_WOOD;0.1875;0.32336454;0.32436454;0.005736689;1.00E+15
STOVE_LPG;0.1875;0.647277708;0.648277708;0.01183431;1.00E+15
STOVE_NG;0.1875;0.026357752;0.027357752;0.00034271;1.00E+15
TRUCK_FG;0.01805556;0.03161;0.1128946;0;1.00E+15
TRUCK_GASOLINE;0.01805556;0.177915;0.63541169;0;1.00E+15
TRUCK_DIESEL_P;0.01805556;0.070474;0.25169371;0;1.00E+15
CONVENTIONAL_BULB;1;0.786865261;0.787865261;0;1.00E+15
LED_BULB;1;0.211134739;0.212134739;0;1.00E+15
CONVENTIONAL_LIGHT;1;0;1;0;1.00E+15
HVAC_LINE;1;0;1;0;1.00E+15
GAS_PIPELINE;1;0;1;0;1.00E+15
DIESEL_PIPELINE;1;0;1;0;1.00E+15
GASOLINE_PIPELINE;1;0;1;0;1.00E+15
LPG_PIPELINE;1;0;1;0;1.00E+15
LFO_PIPELINE;1;0;1;0;1.00E+15
JET_FUEL_PIPELINE;1;0;1;0;1.00E+15
