Technologies param;c_p;fmin_perc;fmax_perc;f_min;f_max
CCGT;0.491975936;0.777062855;0.778062855;0.66885;1.00E+15
WIND_ONSHORE;1;0.015684459;0.016684459;0.1458;1.00E+15
IND_BOILER_GAS;0.9443;0.478237344;0.479237344;0.315379131;1.00E+15
IND_BOILER_WOOD;0.8946;0.489977666;0.490977666;0.341061956;1.00E+15
IND_BOILER_OIL;0.9443;0;0.000755258;0.000600153;1.00E+15
DHN_BOILER_GAS;0.95;0;1;0;1.00E+15
DHN_BOILER_OIL;0.95;0;1;0;1.00E+15
DEC_BOILER_GAS;1;0.024;0.025;0;1.00E+15
DEC_DIRECT_ELEC;1;0.974;0.975;0;1.00E+15
CAR_BEV;0.1343125;0.000082;0.000291046;0;1.00E+15
TRAIN_FREIGHT;0.342465753;0;1;0;1.00E+15
BOAT_FREIGHT_DIESEL;0.114155251;0;1;0;1.00E+15
EFFICIENCY;1;0;1;0;1.00E+15
GRID;1;0;1;0;1.00E+15
DHN;1;0;1;0;0
OIL_TO_HVC;0.994;0;1;0;1.00E+15
BEV_BATT;1;0;1;0;1.00E+15
DIESEL_STORAGE;1;0;1;483.3869772;1.00E+15
GASOLINE_STORAGE;1;0;1;565.8510768;1.00E+15
JET_FUEL_STORAGE;1;0;1;96.49599067;1.00E+15
OCGT;0.147585818;0.082455956;0.083455956;0.23908;1.00E+15
GENSET_DIESEL;0.18833446;0.0034435;0.0044435;0.0099;1.00E+15
ST_BIOMASS;0.444478395;0.11635323;0.11735323;0.21063;1.00E+15
STOVE_WOOD;0.1875;0;1;0;0
STOVE_LPG;0.1875;0.806017331;0.807017331;0.600567328;1.00E+15
STOVE_NG;0.1875;0.185664056;0.186664056;0.138783953;1.00E+15
STOVE_OIL;0.1875;0.00418564;0.00518564;0.003705593;1.00E+15
STOVE_ELEC;0.1875;0.000132973;0.001132973;0.001203058;1.00E+15
PLANE;0.114155251;0;1;0;1.00E+15
FERMENTATION_TO_BIOETHANOL;0.92;0;1;0.014163859;0.014174
LPG_STORAGE;1;0;1;130.1774017;1.00E+15
LNG_STORAGE;1;0;1;16.478;1.00E+15
IND_BOILER_DIESEL;0.9;0.010095754;0.011095754;0.007595587;1.00E+15
IND_BOILER_LPG;0.9443;0.016933977;0.017933977;0.011897451;1.00E+15
CAR_FG_PRIVATE;0.1343125;0.005702;0.020365478;0;1.00E+15
BUS_FG_PRIVATE;0.48372222;0.022324;0.079729248;0;1.00E+15
PICKUP_TRUCK_FG_PRIVATE;0.01679167;0.000452;0.001612804;0;1.00E+15
SUV_FG_PRIVATE;0.01927083;0.001466;0.005236921;0;1.00E+15
MOTORCYCLE_FG_PRIVATE;0.01989583;0.001657;0.00591729;0;1.00E+15
CAR_FG_PUBLIC;0.1343125;0.000281;0.00100422;0;1.00E+15
BUS_FG_PUBLIC;0.48372222;0.03109;0.111037289;0;1.00E+15
PICKUP_TRUCK_FG_PUBLIC;0.01679167;0.000031;0.000111687;0;1.00E+15
SUV_FG_PUBLIC;0.01927083;0.00015;0.000535051;0;1.00E+15
MOTORCYCLE_FG_PUBLIC;0.01989583;0.000058;0.000206352;0;1.00E+15
CAR_GASOLINE_PRIVATE;0.1343125;0.032095;0.114624284;0;1.00E+15
BUS_GASOLINE_PRIVATE;0.48372222;0.125649;0.448745084;0;1.00E+15
PICKUP_TRUCK_GASOLINE_PRIVATE;0.01679167;0.002542;0.009077444;0;1.00E+15
SUV_GASOLINE_PRIVATE;0.01927083;0.008253;0.029475289;0;1.00E+15
