;ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
2017-01-01 00:00:00+00:00;1.02E-04;0.000120916;0.000165051;6.77E-06;0.000114155;0;0.096;0.0001;0.66131025;0.174718395;0.0001;0;0.0001
2017-01-01 01:00:00+00:00;9.74E-05;7.51E-05;0.000164627;0.00000375;0.000114155;0;0.084;0.0001;0.577786563;0.177088607;0.0001;0;0.0001
2017-01-01 02:00:00+00:00;9.11E-05;3.17E-05;0.000164203;0.00000238;0.000114155;0;0.094;0.0001;0.537201804;0.180474622;0.0001;0;0.0001
2017-01-01 03:00:00+00:00;8.63E-05;0;0.000164203;0.0000083;0.000114155;0;0.108;0.0001;0.503975588;0.178104411;0.0001;0;0.0001
2017-01-01 04:00:00+00:00;8.31E-05;0;0.000164203;0.0000249;0.000114155;0;0.109;0.0001;0.47923566;0.192664277;0.0001;0;0.0001
2017-01-01 05:00:00+00:00;7.68E-05;0;0.000164203;0.0000693;0.000114155;0;0.099;0.0001;0.418351473;0.19537309;0.0001;0;0.0001
2017-01-01 06:00:00+00:00;6.77E-05;0;0.000164203;0.000143;0.000114155;0;0.051;0.0001;0.377907682;0.198759106;0.0001;0;0.0001
2017-01-01 07:00:00+00:00;6.92E-05;0;0.000164627;0.00019;0.000114155;0;0;0.0001;0.399955117;0.193341481;0.0001;0;0.0001
2017-01-01 08:00:00+00:00;7.35E-05;0;0.000165051;0.000168;0.000114155;0;0.001;0.0001;0.412473097;0.254289758;0.0001;0;0.0001
2017-01-01 09:00:00+00:00;7.86E-05;0;0.000165476;0.000165;0.000114155;0.00145;0.013;0.0001;0.447771547;0.236005275;0.0001;0;0.0001
2017-01-01 10:00:00+00:00;8.64E-05;0;0.000166324;0.000179;0.000114155;0.01635;0.044;0.0001;0.502551809;0.178104411;0.0001;0;0.0001
2017-01-01 11:00:00+00:00;9.43E-05;0;0.000167173;0.000196;0.000114155;0.46966;0.097;0.0001;0.556204324;0.209255752;0.0001;0.308103439;0.0001
2017-01-01 12:00:00+00:00;1.01E-04;0;0.000168021;0.000195;0.000114155;0.19272;0.156;0.0001;0.576235912;0.223815619;0.0001;0.00892584;0.0001
2017-01-01 13:00:00+00:00;1.07E-04;0;0.00016887;0.000185;0.000114155;0.62933;0.208;0.0001;0.612986334;0.224492823;0.0001;0.436061473;0.0001
2017-01-01 14:00:00+00:00;1.10E-04;0;0.000169718;1.99E-04;0.000114155;0.61864;0.245;0.0001;0.598198766;0.440182005;0.0001;0.363611006;0.0001
2017-01-01 15:00:00+00:00;1.12E-04;0;0.000170991;2.16E-04;0.000114155;0.67346;0.268;0.0001;0.632129823;0.438827598;0.0001;0.485072612;0.0001
2017-01-01 16:00:00+00:00;0.000111;0;0.000172264;2.24E-04;0.000114155;0.49521;0.268;0.0001;0.607883283;0.459482293;0.0001;0.142885422;0.0001
2017-01-01 17:00:00+00:00;0.000107;0;0.000173537;1.98E-04;0.000114155;0.18577;0.243;0.0001;0.577053528;0.736458354;0.0001;0;0.0001
2017-01-01 18:00:00+00:00;0.000104;0;0.00017481;1.37E-04;0.000114155;0.0382;0.221;0.0001;0.684118913;0.891876461;0.0001;0;0.0001
2017-01-01 19:00:00+00:00;1.19E-04;0;0.000176083;9.07E-05;0.000114155;0.02299;0.208;0.0001;0.831205184;0.88273422;0.0001;0;0.0001
2017-01-01 20:00:00+00:00;1.22E-04;0;0.00017778;6.33E-05;0.000114155;0.00954;0.164;0.0001;0.748005723;0.871560368;0.0001;0;0.0001
2017-01-01 21:00:00+00:00;1.19E-04;0;0.000179053;4.11E-05;0.000114155;0.00028;0.129;0.0001;0.626646158;0.798422436;0.0001;0;0.0001
2017-01-01 22:00:00+00:00;1.15E-04;0;0.00018075;2.46E-05;0.000114155;0;0.104;0.0001;0.612788978;0.287134108;0.0001;0;0.0001
2017-01-01 23:00:00+00:00;1.07E-04;0;0.000182023;8.08E-06;0.000114155;0;0.088;0.0001;0.563999868;0.166253357;0.0001;0;0.0001
2017-01-02 00:00:00+00:00;9.79E-05;0;0.00018372;6.77E-06;0.000114155;0;0.069;0.0001;0.582410322;0.430286377;0.0001;0;0.0001
2017-01-02 01:00:00+00:00;9.08E-05;0;0.000185417;0.00000375;0.000114155;0;0.051;0.0001;0.584200619;0.43081121;0.0001;0;0.0001
2017-01-02 02:00:00+00:00;8.55E-05;0;0.00018669;0.00000238;0.000114155;0;0.038;0.0001;0.592926552;0.45615553;0.0001;0;0.0001
2017-01-02 03:00:00+00:00;8.21E-05;0;0.000188388;0.0000083;0.000114155;0;0.03;0.0001;0.583664939;0.452947275;0.0001;0;0.0001
2017-01-02 04:00:00+00:00;7.98E-05;0;0.000190085;0.0000249;0.000114155;0;0.025;0.0001;0.599580255;0.454614892;0.0001;0;0.0001
2017-01-02 05:00:00+00:00;7.41E-05;0;0.000191782;0.0000693;0.000114155;0;0.023;0.0001;0.619978361;0.458161752;0.0001;0;0.0001
2017-01-02 06:00:00+00:00;6.66E-05;0;0.000193055;0.000143;0.000114155;0;0.015;0.0001;0.604288594;0.447504261;0.0001;0;0.0001
