Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;42.65445417;45.1125799;5.160072117;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;0.948565842;0;0.650375472;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;0.958815749;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;31.37192003;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;6.175779255;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;38.56449654;0;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;34.83569822;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;4.054743819;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;1990.200357;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;39.40748509;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;0.698643162;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;0.796558652;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;21.77260315;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;5.077510035;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;0.177365846;0;0;0;0;0;[GWh]
