Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;52.72502392;1.224392991;11.98058001;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;2.399458455;0;2.398248281;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;1.858386582;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;261.9779431;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;22.61307272;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;183.6594911;0;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;154.035823;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;18.48853085;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;6532.871276;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;156.4164643;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;2.192189009;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;3.735865202;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;122.6522592;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;18.40665275;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;8.024218141;0;0;0;0;0;[GWh]
