Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;254.4852743;272.1761271;384.3409121;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;10.0399048;0;46.2480951;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;15.0523645;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;3743.070388;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;3.689090252;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;251.7934158;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;1344.008338;61.45465942;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;83.19838884;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;73520.89714;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;1240.564088;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;20.38296654;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;13.27442843;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;150.9825702;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;128.4319221;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;825.3100253;0;0;0;0;0;[GWh]
