Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;42.62540198;69.31518933;120.0707955;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;2.105297399;0;14.44822915;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;2.545966809;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;1383.507428;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;0.772704039;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;50.35428142;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;357.7321366;16.56653545;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;23.11066356;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;11823.05909;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;214.9160326;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;1.922711179;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;3.277529886;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;93.87226069;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;28.69013364;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;5.395812828;0;0;0;0;0;[GWh]
