Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;0.615811837;438.1001014;368.44119;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;14.98064936;0;44.33486694;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;18.32758203;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;5771.583412;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;19.32210383;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;790.1330545;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;1943.111249;179.2014219;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;120.1754506;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;174543.413;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;1354.064348;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;50.013852;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;24.59444591;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;255.9617545;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;83.85815091;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;43.53296299;0;0;0;0;0;[GWh]
