Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;PUBLIC_LIGHTING;AGRICULTURE;MINING;FISHING_OTHERS;Units
Electricity;Electricity;ELECTRICITY;18.38813304;23.89363134;213.9617601;0;0;0;0;0;[GWh]
Lighting;Building lighting;LIGHTING_R_C;1.652167729;0;15.85596229;0;0;0;0;0;[GWh]
Lighting;Public lighting;LIGHTING_P;0;1.804025608;0;0;0;0;0;0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0;0;530.6236312;0;0;0;0;0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;1.932344108;0;0;0;0;0;0;0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;95.49468493;0;0;0;0;0;0;0;[GWh]
Heat;Cooking;COOKING;382.4569646;31.04060361;0;0;0;0;0;0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Space cooling;SPACE_COOLING;0;0;0;0;0;0;0;0;[GWh]
Cold;Food preservation;FOOD_PRESERVATION;36.97706171;0;0;0;0;0;0;0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0;0;0;21914.21839;0;0;0;0;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0;0;0;211.3823801;0;0;0;0;[Mtkm]
Mobility;Long-haul passenger flights;AVIATION_LONG_HAUL;0;0;0;0;0;0;0;0;[Mpkm]
Mobility;International shipping;SHIPPING;0;0;0;1.981112775;0;0;0;0;[Mtkm]
Mechanical;Mechanical energy commercial;MECHANICAL_ENERGY_COMM;0;5.23194085;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy industrial;MECHANICAL_ENERGY_IND;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture mobility;MECHANICAL_ENERGY_MOV_AGR;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy agriculture fixed;MECHANICAL_ENERGY_FIX_AGR;0;0;0;0;0;821.7077974;0;0;[GWh]
Mechanical;Mechanical energy mining;MECHANICAL_ENERGY_MIN;0;0;0;0;0;0;0;0;[GWh]
Mechanical;Mechanical energy fishing;MECHANICAL_ENERGY_FISH_OTHERS;0;0;0;0;0;0;0;63.97622575;[GWh]
Non-energy;Non-energy;NON_ENERGY;0;0;5.913911951;0;0;0;0;0;[GWh]
